loss_mode,shot,seed,epoch,train_loss,train_seg_loss,train_disp_loss,lambda_disp,steps,train_case_ids,output_dir
Disperssion,3,1,1,1.1300689445601568,1.1101498471366034,0.3983822249703937,0.05,9,72|31|126,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot3\Seed1
Disperssion,3,1,2,0.819103115134769,0.8128139707777235,0.12578270667129093,0.05,9,72|31|126,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot3\Seed1
Disperssion,3,1,3,0.6708674828211466,0.6689348485734727,0.03865264356136322,0.05,9,72|31|126,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot3\Seed1
Disperssion,3,1,4,0.577299502160814,0.5761722061369154,0.022545869772632916,0.05,9,72|31|126,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot3\Seed1
Disperssion,3,1,5,0.5205651124318441,0.5195374753740098,0.020552630743218794,0.05,9,72|31|126,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot3\Seed1
Disperssion,3,1,6,0.4794469045268165,0.4787752727667491,0.01343257487234142,0.05,9,72|31|126,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot3\Seed1
Disperssion,3,1,7,0.4422147042221493,0.4417252242565155,0.009789628028455708,0.05,9,72|31|126,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot3\Seed1
Disperssion,3,1,8,0.41416856315400863,0.41373293267356026,0.00871260536627637,0.05,9,72|31|126,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot3\Seed1
Disperssion,3,1,9,0.38629622591866386,0.3858865267700619,0.00819383825485905,0.05,9,72|31|126,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot3\Seed1
Disperssion,3,1,10,0.3600556320614285,0.3596554431650374,0.008003801883508762,0.05,9,72|31|126,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot3\Seed1
Disperssion,3,1,11,0.3355633086628384,0.3351207872231801,0.008850391747223007,0.05,9,72|31|126,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot3\Seed1
Disperssion,3,1,12,0.3132839798927307,0.31298970182736713,0.005885578484998809,0.05,9,72|31|126,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot3\Seed1
Disperssion,3,1,13,0.2929280632072025,0.29262508948644,0.006059572152379487,0.05,9,72|31|126,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot3\Seed1
Disperssion,3,1,14,0.2848935690191057,0.28456750843260026,0.006521240238928133,0.05,9,72|31|126,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot3\Seed1
Disperssion,3,1,15,0.2628673281934526,0.2625315421157413,0.006715725486477216,0.05,9,72|31|126,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot3\Seed1
Disperssion,3,1,16,0.24574412571059334,0.24543521304925284,0.006178257417761617,0.05,9,72|31|126,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot3\Seed1
Disperssion,3,1,17,0.2290569825304879,0.22878084083398184,0.005522821822928058,0.05,9,72|31|126,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot3\Seed1
Disperssion,3,1,18,0.21549482146898905,0.21523810591962603,0.005134336909072267,0.05,9,72|31|126,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot3\Seed1
Disperssion,3,1,19,0.20347579485840267,0.20320515831311545,0.0054127186433308655,0.05,9,72|31|126,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot3\Seed1
Disperssion,3,1,20,0.1939020421769884,0.19361575775676304,0.005725696424229277,0.05,9,72|31|126,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot3\Seed1
Disperssion,3,1,21,0.18198096089892918,0.18173840476406944,0.0048511564835078185,0.05,9,72|31|126,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot3\Seed1
Disperssion,3,1,22,0.17006545431084102,0.1698056161403656,0.005196781570298804,0.05,9,72|31|126,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot3\Seed1
Disperssion,3,1,23,0.15934056871467167,0.15910899970266554,0.0046313618723717,0.05,9,72|31|126,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot3\Seed1
