loss_mode,shot,seed,epoch,train_loss,train_seg_loss,train_disp_loss,lambda_disp,steps,train_case_ids,output_dir
Disperssion,5,1,1,1.020225993792216,1.0032254894574484,0.34001024117072426,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,2,0.6835246960322062,0.6801641702651977,0.06721038594841958,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,3,0.5536351641019185,0.5520677129427592,0.03134903783599536,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,4,0.4836593925952911,0.4827223161856333,0.01874159233023723,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,5,0.4335686981678009,0.4329742948214213,0.011888027687867482,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,6,0.38812276522318523,0.387526140610377,0.01193247220168511,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,7,0.3499567111333211,0.3494488596916199,0.01015703243513902,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,8,0.3134853184223175,0.31309774120648703,0.007751592559119066,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,9,0.28623196482658386,0.28584019740422567,0.007835367849717537,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,10,0.261021222670873,0.26064553956190745,0.007513698904464642,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,11,0.2402758647998174,0.2399041066567103,0.007435179377595583,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,12,0.22259126206239063,0.22221844494342805,0.007456360974659523,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,13,0.2012516806523005,0.20089763005574543,0.007081021647900343,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,14,0.18341938356558482,0.1830900808175405,0.0065860545883576075,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,15,0.1681225746870041,0.16780297954877219,0.006391885069509347,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,16,0.15311090548833212,0.15280917088190715,0.0060346858886380994,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,17,0.14125535388787588,0.1409734656413396,0.005637802804509799,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,18,0.13085863888263702,0.13057668656110763,0.005639075891425213,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,19,0.12536021222670873,0.12506412863731384,0.005921693022052447,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,20,0.12387720495462418,0.12358319858709971,0.005880125503366192,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,21,0.12506352464358012,0.12469170788923899,0.007436323817819357,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,22,0.11343729943037033,0.11314948946237564,0.005756207648664713,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,23,0.1053092842300733,0.10501178950071335,0.0059498808036247885,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,24,0.09984187682469686,0.09955563147862752,0.005724905012175441,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,25,0.0937545950214068,0.09344834983348846,0.006124915617207686,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,26,0.08888878524303437,0.0886026014884313,0.0057236787552634874,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,27,0.08287128408749898,0.08249325056870778,0.0075606767398615675,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,28,0.07860602190097173,0.07822249929110209,0.007670444870988528,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,29,0.07589778602123261,0.07550160785516104,0.007923552487045526,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,30,0.07890802423159281,0.07846447030703227,0.008871070326616366,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,31,0.07627795537312826,0.07588721265395483,0.007814857301612695,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,32,0.07386305828889211,0.07347272386153539,0.007806700902680556,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,33,0.06916352113087972,0.06877738684415817,0.007722686727841695,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,34,0.06799902444084485,0.06763520340124766,0.007276422840853532,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,35,0.06810540209213893,0.06775048996011417,0.007098255803187689,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,36,0.06858847662806511,0.06821656227111816,0.007438271616895993,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,37,0.06403962373733521,0.06367648591597876,0.007262749100724856,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,38,0.06028055126468341,0.05995893478393555,0.006432314186046521,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,39,0.05674297362565994,0.05642469823360443,0.006365504985054334,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,40,0.055224987616141634,0.054916234811147054,0.006175056068847577,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,41,0.05542876621087392,0.055133119225502014,0.005912937348087629,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,42,0.054300412784020105,0.05401014933983485,0.005805266741663218,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,43,0.05282546107967694,0.05252061287562052,0.0060969638327757515,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,44,0.05184253628055255,0.05154315655430158,0.005987588316202164,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,45,0.05089653035004934,0.050602582097053525,0.005878963756064574,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,46,0.04744847839077314,0.04719160969058673,0.005137376052637895,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,47,0.047712748497724534,0.0474341407418251,0.0055721558009584745,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,48,0.04601235290368398,0.045759187638759614,0.005063312718023857,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,49,0.04590331961711248,0.04565044641494751,0.005057466557870308,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,50,0.045340498288472496,0.04508384764194488,0.005133009500180682,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,51,0.043821009496847786,0.04358725721637408,0.0046750435916086035,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,52,0.04123343949516614,0.040988572686910626,0.004897331710283955,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,53,0.040438776711622874,0.04020753229657809,0.004624889853099982,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,54,0.041419839362303416,0.04119000136852265,0.004596755746752024,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,55,0.03977833166718483,0.03954497228066126,0.004667183539519708,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,56,0.03865819697578748,0.0384260393679142,0.004643153212964535,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,57,0.03659906735022863,0.036377356946468355,0.00443420852534473,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,58,0.03529845339556535,0.03509377563993136,0.0040935481277604895,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,59,0.034786885231733324,0.03458643592894077,0.004008984208727876,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,60,0.036348390951752664,0.036133724451065066,0.004293329998229941,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
Disperssion,5,1,61,0.03791749651233355,0.037714163213968276,0.004066674085333943,0.05,15,72|31|126|53|108,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\beckbones\BatchSize4\Disperssion\shot5\Seed1
