loss_mode,ablation,sadg_method,style_method,template_mode,mask_mode,gate_mode,gate_num_bins,gate_rho_max,rho_bin_min,rho_bin_max,rho_bin_mean,rho_bins,style_alpha,style_rho,sadg_rho,lambda_disp,dice_weight,lambda_gate_anchor,lambda_gate_smooth,lambda_gate_mono,lambda_spectral_consistency,lambda_gate_budget,spectral_cons_eps,rho,rho_tag,sadg_rho_tag,lf_radius_h,lf_radius_w,lf_size_h,lf_size_w,checkpoint_source,shot,seed,epoch,train_loss,train_seg_loss,train_disp_loss,style_reg_loss,gate_reg_loss,gate_anchor_loss,gate_smooth_loss,gate_mono_loss,spectral_cons_loss,gate_budget_loss,spectral_style_loss,template_l2_loss,template_smooth_loss,epsilon_loss,sadg_grad_norm,perturb_norm,steps,train_case_ids,n_train_slices,slice_policy,num_middle_slices,filter_min_fg,output_dir,prompt_dir
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate,fixed,cosine,radial,8,1.0,0.49802058935165405,0.501325786113739,0.49985992908477783,0.50132579|0.49983138|0.50102884|0.49924001|0.50101775|0.49883127|0.49958372|0.49802059,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,3,1,1.3775736490885417,1.348655515246921,0.578362355629603,1.0244641678190822e-09,1.0244641678190822e-09,4.1477019705224745e-07,7.763818190811536e-07,2.0660528971600596e-07,0.0,0.0,0.0,0.0,0.0,1.2479615873760648,1.8973562320073445,0.05,9,108|224|72,36,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate,fixed,cosine,radial,8,1.0,0.49624836444854736,0.5027310848236084,0.4996129274368286,0.50273108|0.49880815|0.50264281|0.49824664|0.50040966|0.49827042|0.49954641|0.49624836,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,3,2,1.0682993597454495,1.0544197824266222,0.2775918808248308,7.526745177738942e-09,7.526745177738942e-09,2.470274769924193e-06,5.610926412676538e-06,1.6687908947056308e-06,0.0,0.0,0.0,0.0,0.0,0.9909429682625664,1.1847642130321927,0.05,9,108|224|72,36,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate,fixed,cosine,radial,8,1.0,0.4945223331451416,0.5041069388389587,0.49919307231903076,0.50359935|0.49811113|0.50410694|0.49771789|0.49996722|0.49689528|0.49862429|0.49452233,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,3,3,0.9218898481792874,0.914418081442515,0.14943544069925943,1.9340510921179227e-08,1.9340510921179227e-08,6.893133003258198e-06,1.4361654292669198e-05,4.289542832541176e-06,0.0,0.0,0.0,0.0,0.0,0.8584057887395223,1.0560292800267537,0.05,9,108|224|72,36,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate,fixed,cosine,radial,8,1.0,0.4932085871696472,0.5050902962684631,0.49874675273895264,0.50377506|0.49715731|0.5050903|0.49764627|0.49932054|0.49583793|0.49793828|0.49320859,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,3,4,0.7773558166291978,0.7716208961274889,0.1146975995765792,3.4119459850027546e-08,3.4119459850027546e-08,1.2412346222845372e-05,2.476597566985422e-05,8.112247441103034e-06,0.0,0.0,0.0,0.0,0.0,0.7174013919300504,1.0055272579193115,0.05,9,108|224|72,36,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate,fixed,cosine,radial,8,1.0,0.4922662079334259,0.5056477189064026,0.49816519021987915,0.50321454|0.49648604|0.50564772|0.4971886|0.49834159|0.49525416|0.49692282|0.49226621,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,3,5,0.6675619151857164,0.6631139119466146,0.08895897037453121,4.478781079342298e-08,4.478781079342298e-08,1.7328395693362432e-05,3.170950488614229e-05,1.134546376609554e-05,0.0,0.0,0.0,0.0,0.0,0.6122992899682786,0.8740073376231723,0.05,9,108|224|72,36,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate,fixed,cosine,radial,8,1.0,0.49175986647605896,0.506131112575531,0.4977751076221466,0.5024727|0.49602523|0.50613111|0.49686396|0.49834231|0.49475577|0.49585|0.49175987,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,3,6,0.5957532127698263,0.5922095974286398,0.07087111224730809,5.0923315342288333e-08,5.0923315342288333e-08,2.1256762718419646e-05,3.523243059236039e-05,1.3565206144347838e-05,0.0,0.0,0.0,0.0,0.0,0.5516700016127692,0.7660238809055753,0.05,9,108|224|72,36,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate,fixed,cosine,radial,8,1.0,0.4916132986545563,0.5066516995429993,0.4972988963127136,0.50137162|0.49517307|0.5066517|0.49622452|0.49816084|0.49439153|0.49480462|0.4916133,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,3,7,0.5332654515902201,0.5311821897824606,0.04166397783491346,5.94186637670191e-08,5.94186637670191e-08,2.4755988205369147e-05,4.007762213910205e-05,1.686544075912227e-05,0.0,0.0,0.0,0.0,0.0,0.49498996138572693,0.6782839430703057,0.05,9,108|224|72,36,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate,fixed,cosine,radial,8,1.0,0.49150556325912476,0.5069370269775391,0.4968227744102478,0.50024354|0.49439263|0.50693703|0.49530193|0.49770597|0.49387801|0.49461743|0.49150556,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,3,8,0.4887359109189775,0.4874270823266771,0.02617532615032461,7.122920446060259e-08,7.122920446060259e-08,2.8590261434955108e-05,4.706835291775254e-05,2.130182070282495e-05,0.0,0.0,0.0,0.0,0.0,0.4535562859641181,0.6396619213951958,0.05,9,108|224|72,36,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate,fixed,cosine,radial,8,1.0,0.4916095435619354,0.5073345303535461,0.49658703804016113,0.49943975|0.49446845|0.50733453|0.49485558|0.49713475|0.4934285|0.49442515|0.49160954,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,3,9,0.44747934407658047,0.4465858042240143,0.017868958620561495,7.951401986221956e-08,7.951401986221956e-08,3.160709861226173e-05,5.2305308700953094e-05,2.4047998118072024e-05,0.0,0.0,0.0,0.0,0.0,0.4146392279201084,0.6051073670387268,0.05,9,108|224|72,36,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate,fixed,cosine,radial,8,1.0,0.4915599524974823,0.5077158212661743,0.4964105784893036,0.49880767|0.49476454|0.50771582|0.49453154|0.49677911|0.49318126|0.49394479|0.49155995,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,3,10,0.41243019368913436,0.41171637839741176,0.014274562605553202,8.213485279561104e-08,8.213485279561104e-08,3.40784823088648e-05,5.4021160596878166e-05,2.4705840688612727e-05,0.0,0.0,0.0,0.0,0.0,0.3812520106633504,0.572980973455641,0.05,9,108|224|72,36,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3
