loss_mode,ablation,sadg_method,style_method,template_mode,mask_mode,gate_mode,gate_num_bins,gate_rho_max,rho_bin_min,rho_bin_max,rho_bin_mean,rho_bins,style_alpha,style_rho,sadg_rho,lambda_disp,dice_weight,lambda_gate_anchor,lambda_gate_smooth,lambda_gate_mono,lambda_spectral_consistency,lambda_gate_budget,spectral_cons_eps,rho,rho_tag,sadg_rho_tag,lf_radius_h,lf_radius_w,lf_size_h,lf_size_w,checkpoint_source,shot,seed,epoch,train_loss,train_seg_loss,train_disp_loss,style_reg_loss,gate_reg_loss,gate_anchor_loss,gate_smooth_loss,gate_mono_loss,spectral_cons_loss,gate_budget_loss,spectral_style_loss,template_l2_loss,template_smooth_loss,epsilon_loss,sadg_grad_norm,perturb_norm,steps,train_case_ids,n_train_slices,slice_policy,num_middle_slices,filter_min_fg,output_dir,prompt_dir
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate,fixed,cosine,radial,8,1.0,0.4972586929798126,0.5018441081047058,0.4999055862426758,0.49725869|0.50154084|0.50018346|0.50033367|0.49845773|0.50184411|0.50013661|0.49948969,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,0,1,1.3397288123766582,1.3120443324247997,0.5536897331476212,4.150060337049233e-09,4.150060337049233e-09,8.948953424218568e-07,2.279316145603616e-06,1.7812544583032757e-06,0.0,0.0,0.0,0.0,0.0,1.2129396498203278,1.9228602151076,0.05000000000000001,12,179|180|23|126,46,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot4\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot4\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate,fixed,cosine,radial,8,1.0,0.49507826566696167,0.5034059882164001,0.4987936019897461,0.49507827|0.50340599|0.49941584|0.49843812|0.49772587|0.50055099|0.4978016|0.49793208,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,0,2,0.9844208310047785,0.9631000111500422,0.4264163101712863,1.6375587774675182e-08,1.6375587774675182e-08,3.678720380169883e-06,9.066688335224171e-06,6.941026905830465e-06,0.0,0.0,0.0,0.0,0.0,0.9154784778753916,0.8932174096504847,0.05000000000000001,12,179|180|23|126,46,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot4\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot4\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate,fixed,cosine,radial,8,1.0,0.49299734830856323,0.5060335993766785,0.49792295694351196,0.49299735|0.5060336|0.49997503|0.49600175|0.49723241|0.49924311|0.49502194|0.49687856,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,0,3,0.8849012553691864,0.8639272699753443,0.41947882374127704,4.13432600746925e-08,4.13432600746925e-08,1.1255199600176033e-05,2.3228966104701005e-05,1.69887724344638e-05,0.0,0.0,0.0,0.0,0.0,0.8273940434058508,0.6680673112471899,0.05000000000000001,12,179|180|23|126,46,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot4\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot4\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate,fixed,cosine,radial,8,1.0,0.4907324016094208,0.5088722109794617,0.49714499711990356,0.4907324|0.50887221|0.50097764|0.49367207|0.4963429|0.49752772|0.49281996|0.4962149,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,0,4,0.8374815384546915,0.8168326318264008,0.41297641148169834,8.914066818022093e-08,8.914066818022093e-08,2.59642003281139e-05,5.0305719014431816e-05,3.623852489909041e-05,0.0,0.0,0.0,0.0,0.0,0.7843236178159714,0.5574070786436399,0.05000000000000001,12,179|180|23|126,46,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot4\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot4\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate,fixed,cosine,radial,8,1.0,0.4878770112991333,0.5114986896514893,0.49656423926353455,0.48787701|0.51149869|0.50179738|0.49183857|0.49603838|0.49606571|0.49080321|0.496595,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,0,5,0.7987426420052847,0.7777939190467199,0.41897133489449817,1.6098769014168587e-07,1.6098769014168587e-07,4.65231244864602e-05,9.0648229161161e-05,6.568714312985928e-05,0.0,0.0,0.0,0.0,0.0,0.749192034204801,0.5144043018420538,0.05000000000000001,12,179|180|23|126,46,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot4\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot4\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate,fixed,cosine,radial,8,1.0,0.48475316166877747,0.5142411589622498,0.495906263589859,0.48475316|0.51424116|0.50242215|0.48947939|0.49546793|0.49438629|0.48890993|0.49759007,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,0,6,0.7586627205212911,0.7391686290502548,0.38987651467323303,2.622991317480228e-07,2.622991317480228e-07,7.248045524950915e-05,0.00014681048196507618,0.00010824059305984217,0.0,0.0,0.0,0.0,0.0,0.7061396092176437,0.5971506213148435,0.05000000000000001,12,179|180|23|126,46,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot4\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot4\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate,fixed,cosine,radial,8,1.0,0.48103004693984985,0.5169002413749695,0.49520227313041687,0.48103005|0.51690024|0.50395268|0.48729789|0.49495277|0.49202761|0.4876461|0.49781093,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,0,7,0.6797418892383575,0.67188793917497,0.15707075223326683,4.092323280247001e-07,4.092323280247001e-07,0.00011042581172659993,0.00022760327313638604,0.00017058645486637639,0.0,0.0,0.0,0.0,0.0,0.6370409031709036,0.6374860356251398,0.05000000000000001,12,179|180|23|126,46,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot4\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot4\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate,fixed,cosine,radial,8,1.0,0.47746536135673523,0.5194733142852783,0.49450474977493286,0.47746536|0.51947331|0.50599957|0.48590153|0.49358603|0.49004638|0.48657998|0.4969857,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,0,8,0.6193055411179861,0.6138447771469752,0.10920362795392673,5.742356137261595e-07,5.742356137261595e-07,0.00015629417854749286,0.0003178266803539979,0.00024077950123076638,0.0,0.0,0.0,0.0,0.0,0.5772103617588679,0.6602716594934464,0.05000000000000001,12,179|180|23|126,46,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot4\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot4\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate,fixed,cosine,radial,8,1.0,0.47462916374206543,0.521508514881134,0.4938117265701294,0.47462916|0.52150851|0.50807822|0.48504674|0.49173132|0.48880982|0.48560828|0.49508187,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,0,9,0.576137900352478,0.5727878659963608,0.06698646520574887,7.161111739151238e-07,7.161111739151238e-07,0.00020229582635996243,0.00039538654042795923,0.0003004950243242395,0.0,0.0,0.0,0.0,0.0,0.5382874409357706,0.6374916434288025,0.05000000000000001,12,179|180|23|126,46,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot4\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot4\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate,fixed,cosine,radial,8,1.0,0.4724983870983124,0.523484468460083,0.4933483600616455,0.47249839|0.52348447|0.50987667|0.48407435|0.49037376|0.48761576|0.4856514|0.49321207,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,0,10,0.5294290085633596,0.5273234794537226,0.04209381512676676,8.503368983762508e-07,8.503368983762508e-07,0.0002460695298699041,0.000469277527978799,0.0003564523770667923,0.0,0.0,0.0,0.0,0.0,0.49554574986298877,0.5702058573563894,0.05000000000000001,12,179|180|23|126,46,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot4\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot4\Seed0
