loss_mode,ablation,sadg_method,style_method,template_mode,mask_mode,gate_mode,gate_num_bins,gate_rho_max,rho_bin_min,rho_bin_max,rho_bin_mean,rho_bins,style_alpha,style_rho,sadg_rho,lambda_disp,dice_weight,lambda_gate_anchor,lambda_gate_smooth,lambda_gate_mono,lambda_spectral_consistency,lambda_gate_budget,spectral_cons_eps,rho,rho_tag,sadg_rho_tag,lf_radius_h,lf_radius_w,lf_size_h,lf_size_w,checkpoint_source,shot,seed,epoch,train_loss,train_seg_loss,train_disp_loss,style_reg_loss,gate_reg_loss,gate_anchor_loss,gate_smooth_loss,gate_mono_loss,spectral_cons_loss,gate_budget_loss,spectral_style_loss,template_l2_loss,template_smooth_loss,epsilon_loss,sadg_grad_norm,perturb_norm,steps,train_case_ids,n_train_slices,slice_policy,num_middle_slices,filter_min_fg,output_dir,prompt_dir
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate,fixed,cosine,radial,8,1.0,0.497994989156723,0.5027649402618408,0.5003465414047241,0.49901477|0.50276494|0.50201708|0.49799499|0.50149077|0.5012098|0.49951255|0.4987672,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,0,1,1.289098596572876,1.2628334522247315,0.525302900870641,3.2956361362135313e-09,3.2956361362135313e-09,1.0290576331802488e-06,2.1107027511864848e-06,1.0820274065774053e-06,0.0,0.0,0.0,0.0,0.0,1.1734720905621847,1.7768500884373983,0.05000000000000002,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot5\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot5\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate,fixed,cosine,radial,8,1.0,0.4948444366455078,0.5057086944580078,0.49976176023483276,0.49764591|0.50570869|0.50357795|0.49484444|0.50258571|0.49889874|0.49648625|0.49834645,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,0,2,0.9432838996251424,0.9224938988685608,0.415799742937088,2.7460827922709542e-08,2.7460827922709542e-08,6.6409103662105435e-06,1.7100043260143137e-05,9.696692571499927e-06,0.0,0.0,0.0,0.0,0.0,0.8796564658482869,0.7940698464711508,0.05000000000000002,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot5\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot5\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate,fixed,cosine,radial,8,1.0,0.4919271767139435,0.5089512467384338,0.4992128610610962,0.49615175|0.50895125|0.50471479|0.49192718|0.50308841|0.49689382|0.49415407|0.49782175,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,0,3,0.8504141132036845,0.8300077597300212,0.4081252117951711,8.223769611959142e-08,8.223769611959142e-08,2.0091309306735638e-05,5.1080659371412666e-05,2.9147902508460297e-05,0.0,0.0,0.0,0.0,0.0,0.7972364068031311,0.589404269059499,0.05000000000000002,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot5\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot5\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate,fixed,cosine,radial,8,1.0,0.4901158809661865,0.5120306611061096,0.49910005927085876,0.49338031|0.51203066|0.50673157|0.49011588|0.50402254|0.49482968|0.49284133|0.49884859,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,0,4,0.7958968440691631,0.7762144804000854,0.3936438779036204,1.673003453106503e-07,1.673003453106503e-07,4.0375014335343926e-05,0.00010320193396182731,6.006090261507779e-05,0.0,0.0,0.0,0.0,0.0,0.746687122186025,0.5704115430514017,0.05000000000000002,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot5\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot5\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate,fixed,cosine,radial,8,1.0,0.4882049560546875,0.5151915550231934,0.4985957443714142,0.48991644|0.51519156|0.5091542|0.48820496|0.5050227|0.49218419|0.49034578|0.49874616,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,0,5,0.7234337210655213,0.7118785897890727,0.23109688907861708,2.846727037801126e-07,2.846727037801126e-07,6.808677959876755e-05,0.000173709030301931,0.00010415498012055953,0.0,0.0,0.0,0.0,0.0,0.6738593935966491,0.6600711584091187,0.05000000000000002,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot5\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot5\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate,fixed,cosine,radial,8,1.0,0.4860018789768219,0.5182111263275146,0.4981616139411926,0.48600188|0.51821113|0.51210743|0.48684099|0.5050289|0.48908302|0.48917753|0.498842,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,0,6,0.6357167402903239,0.6310263752937317,0.0937978779276212,4.7593122758371466e-07,4.7593122758371466e-07,0.00011510550927293176,0.0002883485683317607,0.00017607208671203503,0.0,0.0,0.0,0.0,0.0,0.5961552302042643,0.6350446581840515,0.05000000000000002,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot5\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot5\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate,fixed,cosine,radial,8,1.0,0.48384273052215576,0.5210121273994446,0.4976024925708771,0.48405632|0.52101213|0.51484537|0.48384273|0.50420797|0.48693973|0.48901397|0.49690169,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,0,7,0.5870117505391439,0.5828401923179627,0.08341846068700155,6.417807677886836e-07,6.417807677886836e-07,0.0001602753094630316,0.0003908699184345702,0.00023488328733947128,0.0,0.0,0.0,0.0,0.0,0.540093187491099,0.7090226968129476,0.05000000000000002,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot5\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot5\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate,fixed,cosine,radial,8,1.0,0.4818306565284729,0.5233505368232727,0.4970778822898865,0.48183066|0.52335054|0.51854116|0.48232079|0.50218129|0.48429537|0.48863539|0.49546805,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,0,8,0.5358227133750916,0.5336822013060252,0.04279408405224482,8.05477463927673e-07,8.05477463927673e-07,0.00021264573442749679,0.0004973503256527086,0.0002868625238382568,0.0,0.0,0.0,0.0,0.0,0.5007398545742034,0.5991013566652934,0.05000000000000002,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot5\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot5\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate,fixed,cosine,radial,8,1.0,0.4796295762062073,0.525743305683136,0.4967367649078369,0.47962958|0.52574331|0.52214885|0.48182383|0.50054193|0.48219591|0.48795|0.49386087,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,0,9,0.48856447140375775,0.4870798150698344,0.029674180224537848,9.505499557841782e-07,9.505499557841782e-07,0.0002673830623583247,0.0005900366697460413,0.00033377493576457103,0.0,0.0,0.0,0.0,0.0,0.45670679608980813,0.5340798437595368,0.05000000000000002,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot5\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot5\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate,fixed,cosine,radial,8,1.0,0.4775956869125366,0.5273391008377075,0.4960228204727173,0.47759569|0.5273391|0.52540851|0.48096436|0.49818972|0.47980788|0.48631439|0.49256295,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,0,10,0.46605160435040793,0.46450289885203044,0.030951869611938795,1.1112873683790288e-06,1.1112873683790288e-06,0.00033280735563797254,0.0006921864192311962,0.0003858201613184065,0.0,0.0,0.0,0.0,0.0,0.43644657333691916,0.5217755893866222,0.05000000000000002,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot5\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot5\Seed0
