loss_mode,ablation,sadg_method,style_method,template_mode,mask_mode,gate_mode,gate_num_bins,gate_rho_max,rho_bin_min,rho_bin_max,rho_bin_mean,rho_bins,style_alpha,style_rho,sadg_rho,lambda_disp,dice_weight,lambda_gate_anchor,lambda_gate_smooth,lambda_gate_mono,lambda_spectral_consistency,lambda_gate_budget,spectral_cons_eps,rho,rho_tag,sadg_rho_tag,lf_radius_h,lf_radius_w,lf_size_h,lf_size_w,checkpoint_source,shot,seed,epoch,train_loss,train_seg_loss,train_disp_loss,style_reg_loss,gate_reg_loss,gate_anchor_loss,gate_smooth_loss,gate_mono_loss,spectral_cons_loss,gate_budget_loss,spectral_style_loss,template_l2_loss,template_smooth_loss,epsilon_loss,sadg_grad_norm,perturb_norm,steps,train_case_ids,n_train_slices,slice_policy,num_middle_slices,filter_min_fg,output_dir,prompt_dir
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-Cons,fixed,cosine,radial_cons,8,1.0,0.49847787618637085,0.501829206943512,0.5007705688476562,0.49847788|0.50119227|0.50074226|0.50055104|0.50085467|0.50182921|0.50151235|0.50100452,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,0,1,1.4232238001293607,1.3846668667263455,0.5906239748001099,0.009025732262267007,1.0240890265430143e-09,6.036395853293975e-07,5.016254560372444e-07,4.6209957578942823e-07,0.902572876877255,2.803016015838643e-07,0.009025731330944432,0.0,0.0,1.27666179339091,2.1821676757600574,0.05,9,179|180|23,34,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot3\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot3\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-Cons,fixed,cosine,radial_cons,8,1.0,0.49693748354911804,0.5019737482070923,0.5006064176559448,0.49693748|0.50197375|0.5002771|0.50022346|0.50186014|0.50183165|0.50132614|0.5004217,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,0,2,1.0739358531104193,1.04190194606781,0.45958850781122845,0.009054514786435498,4.860075502537914e-09,2.1269292650079783e-06,2.4599541903727286e-06,2.187428271503854e-06,0.9054504566722446,5.398360908909833e-07,0.009054509922862053,0.0,0.0,0.9832896524005466,1.1428574721018474,0.05,9,179|180|23,34,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot3\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot3\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-Cons,fixed,cosine,radial_cons,8,1.0,0.49504178762435913,0.5035849809646606,0.5001744627952576,0.49504179|0.50358498|0.50052351|0.49953699|0.50248611|0.50054234|0.50016809|0.49951184,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,0,3,0.945691810713874,0.9151722060309516,0.43015918797916836,0.009011641869114505,1.5666753721493226e-08,3.830370966776779e-06,8.189023295320416e-06,7.094692490581009e-06,0.9011624256769816,2.0648051841160648e-07,0.009011626140111022,0.0,0.0,0.8725099894735548,0.791030678484175,0.05,9,179|180|23,34,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot3\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot3\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-Cons,fixed,cosine,radial_cons,8,1.0,0.49339529871940613,0.505302369594574,0.4997382164001465,0.4933953|0.50530237|0.50097239|0.49863011|0.50276482|0.49947521|0.49906251|0.498303,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,0,4,0.8873629967371622,0.8562574452824063,0.44093506866031223,0.009058807459142473,3.61132492798788e-08,7.593404209021375e-06,1.9308359898988987e-05,1.6045546948993837e-05,0.905877153078715,2.1645512937595868e-08,0.009058771448002921,0.0,0.0,0.8203965624173483,0.6581582890616523,0.05,9,179|180|23,34,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot3\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot3\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-Cons,fixed,cosine,radial_cons,8,1.0,0.49126940965652466,0.5072975754737854,0.4994063675403595,0.49126941|0.50729758|0.50188696|0.49748304|0.50367582|0.49848256|0.49788326|0.49727231,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,0,5,0.839170946015252,0.8096687859959073,0.4095674190256331,0.009023781969315477,6.99214773981617e-08,1.470394686799005e-05,3.794050785978066e-05,3.0510570569377807e-05,0.9023710820409987,1.549672872000782e-07,0.009023712223602666,0.0,0.0,0.7743883464071486,0.6550577084223429,0.05,9,179|180|23,34,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot3\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot3\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-Cons,fixed,cosine,radial_cons,8,1.0,0.48867884278297424,0.5092752575874329,0.4989677369594574,0.48867884|0.50927526|0.50321025|0.49565735|0.50449413|0.49715686|0.49669999|0.49656907,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,0,6,0.7946321964263916,0.7703751060697768,0.3047600785891215,0.009019087068736553,1.265160081389796e-07,2.7485368668244013e-05,6.938108991663385e-05,5.438637648088237e-05,0.9018954171074761,6.478120187441366e-07,0.009018960615826977,0.0,0.0,0.7350561022758484,0.6825274626413981,0.05,9,179|180|23,34,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot3\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot3\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-Cons,fixed,cosine,radial_cons,8,1.0,0.48616427183151245,0.5111697912216187,0.49895763397216797,0.48616427|0.51116979|0.50485373|0.49455732|0.50572765|0.4960407|0.49656174|0.49658591,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,0,7,0.7302618357870314,0.7138233780860901,0.14858062813679376,0.009009405142731138,2.0723136786829048e-07,4.5136971796940394e-05,0.00011492239799635071,8.77952633244503e-05,0.9009186824162801,1.1370322504768005e-06,0.009009198078678714,0.0,0.0,0.6784327957365248,0.6447383893860711,0.05,9,179|180|23,34,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot3\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot3\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-Cons,fixed,cosine,radial_cons,8,1.0,0.48398643732070923,0.5124125480651855,0.499010294675827,0.48398644|0.51241255|0.50681514|0.49406865|0.50583965|0.4955695|0.49663717|0.49675328,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,0,8,0.690316359202067,0.6744437681304084,0.13722381078534657,0.009011408728029992,2.859599703697313e-07,6.246859387222987e-05,0.00015896374599025067,0.00012074935916138606,0.9011112584008111,1.0666248929030392e-06,0.009011122811999586,0.0,0.0,0.6356215013398064,0.7052122619416978,0.05,9,179|180|23,34,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot3\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot3\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-Cons,fixed,cosine,radial_cons,8,1.0,0.4821926951408386,0.5131403207778931,0.4990772008895874,0.4821927|0.51314032|0.50956285|0.49310121|0.50667769|0.49503887|0.49706829|0.4958356,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,0,9,0.672371076212989,0.6573936939239502,0.11947899642917845,0.00900343909031815,3.508928077482981e-07,7.887725708618139e-05,0.00019609627553210076,0.0001469087874284014,0.9003079864713881,8.492010831812675e-07,0.009003088292148378,0.0,0.0,0.6151015096240573,0.6883819103240967,0.05,9,179|180|23,34,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot3\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot3\Seed0
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-Cons,fixed,cosine,radial_cons,8,1.0,0.4803502559661865,0.5142602324485779,0.499117910861969,0.48035026|0.51426023|0.51178908|0.49208635|0.50704843|0.49455592|0.49740559|0.49544722,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,3,0,10,0.6385225322511461,0.624918195936415,0.09171249055200154,0.00901871133181784,4.3558005321150023e-07,0.00010012184146843437,0.0002472406938775546,0.0001783271565929883,0.9018267393112183,8.606917655621752e-07,0.009018275679813491,0.0,0.0,0.5861893826060824,0.6801605754428439,0.05,9,179|180|23,34,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot3\Seed0,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot3\Seed0
