loss_mode,ablation,sadg_method,style_method,template_mode,mask_mode,gate_mode,gate_num_bins,gate_rho_max,rho_bin_min,rho_bin_max,rho_bin_mean,rho_bins,style_alpha,style_rho,sadg_rho,lambda_disp,dice_weight,lambda_gate_anchor,lambda_gate_smooth,lambda_gate_mono,lambda_spectral_consistency,lambda_gate_budget,spectral_cons_eps,rho,rho_tag,sadg_rho_tag,lf_radius_h,lf_radius_w,lf_size_h,lf_size_w,checkpoint_source,shot,seed,epoch,train_loss,train_seg_loss,train_disp_loss,style_reg_loss,gate_reg_loss,gate_anchor_loss,gate_smooth_loss,gate_mono_loss,spectral_cons_loss,gate_budget_loss,spectral_style_loss,template_l2_loss,template_smooth_loss,epsilon_loss,sadg_grad_norm,perturb_norm,steps,train_case_ids,n_train_slices,slice_policy,num_middle_slices,filter_min_fg,output_dir,prompt_dir
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-Cons,fixed,cosine,radial_cons,8,1.0,0.4974444806575775,0.5025594234466553,0.5006183385848999,0.49765548|0.50208253|0.5022155|0.50082839|0.50192118|0.50255942|0.50023985|0.49744448,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,1,1,1.3910962740580242,1.3554063936074574,0.5319823275009791,0.009090753272175789,3.0479606350404995e-09,1.5097951025685081e-06,1.8232398660463407e-06,1.0737411140956017e-06,0.9090748379627863,2.1125878528020317e-07,0.009090750322987637,0.0,0.0,1.2529545525709789,2.070752888917923,0.05000000000000001,12,72|31|126|53,47,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot4\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot4\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-Cons,fixed,cosine,radial_cons,8,1.0,0.4962100088596344,0.5044358968734741,0.5009294748306274,0.49700844|0.5044359|0.50417084|0.50042385|0.50270694|0.50438577|0.49809423|0.49621001,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,1,2,0.9910027384757996,0.9605398078759512,0.4272134105364482,0.009102265816181898,1.5769697769840718e-08,7.003903533586708e-06,9.763448929334118e-06,5.305857750196689e-06,0.9102244079113007,6.35653795673837e-07,0.009102250061308345,0.0,0.0,0.9036696553230286,1.0617841283480327,0.05000000000000001,12,72|31|126|53,47,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot4\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot4\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-Cons,fixed,cosine,radial_cons,8,1.0,0.4948636591434479,0.5065982937812805,0.5010746717453003,0.4951857|0.50659829|0.50560588|0.5000509|0.50350952|0.50583178|0.49695167|0.49486366,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,1,3,0.822917620340983,0.7982533822456995,0.3113917087515195,0.009094650546709696,4.237516589474429e-08,1.6357790627807844e-05,2.64191970321311e-05,1.4320187574412557e-05,0.9094598591327667,9.862046870997194e-07,0.009094608404363195,0.0,0.0,0.7511137922604879,0.870286206404368,0.05000000000000001,12,72|31|126|53,47,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot4\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot4\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-Cons,fixed,cosine,radial_cons,8,1.0,0.4936293065547943,0.5082041025161743,0.5014839172363281,0.49362931|0.5082041|0.50678122|0.50084734|0.50486964|0.50689644|0.49693379|0.49370933,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,1,4,0.7249105970064799,0.7065799136956533,0.18491036320726076,0.009085155557841063,7.485684842360267e-08,2.7672711591245996e-05,4.532344185766609e-05,2.67661322747396e-05,0.908506507674853,1.5851728202657493e-06,0.009085080741594235,0.0,0.0,0.6644820123910904,0.7450264990329742,0.05000000000000001,12,72|31|126|53,47,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot4\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot4\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-Cons,fixed,cosine,radial_cons,8,1.0,0.49192413687705994,0.5093200206756592,0.5020719766616821,0.49192414|0.50932002|0.50799018|0.50216997|0.5063861|0.50781864|0.49791613|0.49305043,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,1,5,0.6656398375829061,0.649347111582756,0.1441574338823557,0.009084855439141393,1.0323986406509296e-07,3.982178744384631e-05,6.0548828514583874e-05,3.8708853026037104e-05,0.9084721157948176,3.112542420543226e-06,0.009084752139945826,0.0,0.0,0.6135899176200231,0.6597946137189865,0.05000000000000001,12,72|31|126|53,47,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot4\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot4\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-Cons,fixed,cosine,radial_cons,8,1.0,0.48963209986686707,0.5102624297142029,0.5026611089706421,0.4896321|0.51026243|0.50921392|0.50346106|0.50835735|0.5089696|0.49876425|0.49262837,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,1,6,0.606527790427208,0.5915933748086294,0.11707555688917637,0.009080635771776238,1.3836675923547168e-07,5.5100417739595287e-05,7.837825857374507e-05,5.4478451602335554e-05,0.9080442587534586,5.5235653917407035e-06,0.009080497392763695,0.0,0.0,0.55744502445062,0.6315539330244064,0.05000000000000001,12,72|31|126|53,47,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot4\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot4\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-Cons,fixed,cosine,radial_cons,8,1.0,0.4879985451698303,0.5110152959823608,0.5031891465187073,0.48799855|0.5110153|0.50998515|0.50418842|0.50981128|0.5098089|0.50007343|0.49263209,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,1,7,0.5554879556099573,0.5416967620452245,0.09391387676199277,0.00909549300558865,1.7709936154612174e-07,7.14647085260367e-05,9.79012960063604e-05,7.205158787352654e-05,0.9095231294631958,8.49022660531773e-06,0.009095315976689259,0.0,0.0,0.5101389090220133,0.5691862454017004,0.05000000000000001,12,72|31|126|53,47,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot4\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot4\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-Cons,fixed,cosine,radial_cons,8,1.0,0.48685821890830994,0.5114153027534485,0.5037550926208496,0.48685822|0.51119328|0.51073188|0.50493222|0.5114153|0.51042986|0.5012778|0.49320197,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,1,8,0.5342011402050654,0.5208936085303625,0.08437115823229153,0.009088967771579822,2.035848064944427e-07,8.340948261320591e-05,0.00011058483930052414,8.465900828014128e-05,0.9088645726442337,1.1884418351352602e-05,0.009088764355207482,0.0,0.0,0.48212019602457684,0.5751873950163523,0.05000000000000001,12,72|31|126|53,47,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot4\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot4\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-Cons,fixed,cosine,radial_cons,8,1.0,0.4845224618911743,0.5126619935035706,0.504472553730011,0.48452246|0.51167387|0.51241142|0.50640202|0.51266199|0.51163888|0.5025813|0.49388865,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,1,9,0.506486696501573,0.4931056077281634,0.08607210280994575,0.009077487202982107,2.348847208584933e-07,0.00010008554212011707,0.0001259302510637402,9.894590584735852e-05,0.90770856042703,1.6677419353072764e-05,0.009077252354472876,0.0,0.0,0.4636330728729566,0.5176952108740807,0.05000000000000001,12,72|31|126|53,47,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot4\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot4\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-Cons,fixed,cosine,radial_cons,8,1.0,0.48246070742607117,0.5140240788459778,0.5052564144134521,0.48246071|0.51220185|0.51367676|0.5077976|0.51402408|0.51299614|0.50410622|0.49478805,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,1,10,0.468956691523393,0.4564024756352107,0.06965161394327879,0.009071635625635585,2.8212085349347643e-07,0.0001258073947004353,0.00014889227531966753,0.00012064782761929867,0.9071117043495178,2.3656136818317464e-05,0.009071353357285261,0.0,0.0,0.43196726342042285,0.4544723133246104,0.05000000000000001,12,72|31|126|53,47,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot4\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot4\Seed1
