loss_mode,ablation,sadg_method,style_method,template_mode,mask_mode,gate_mode,gate_num_bins,gate_rho_max,rho_bin_min,rho_bin_max,rho_bin_mean,rho_bins,style_alpha,style_rho,sadg_rho,lambda_disp,dice_weight,lambda_gate_anchor,lambda_gate_smooth,lambda_gate_mono,lambda_spectral_consistency,lambda_gate_budget,spectral_cons_eps,rho,rho_tag,sadg_rho_tag,lf_radius_h,lf_radius_w,lf_size_h,lf_size_w,checkpoint_source,shot,seed,epoch,train_loss,train_seg_loss,train_disp_loss,style_reg_loss,gate_reg_loss,gate_anchor_loss,gate_smooth_loss,gate_mono_loss,spectral_cons_loss,gate_budget_loss,spectral_style_loss,template_l2_loss,template_smooth_loss,epsilon_loss,sadg_grad_norm,perturb_norm,steps,train_case_ids,n_train_slices,slice_policy,num_middle_slices,filter_min_fg,output_dir,prompt_dir
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-Cons,fixed,cosine,radial_cons,8,1.0,0.49931856989860535,0.5031318664550781,0.5018176436424255,0.50113678|0.50146228|0.50188583|0.5018338|0.50313187|0.50283277|0.50293922|0.49931857,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,3,1,1.2815847555796305,1.2468669493993123,0.5159703930219014,0.008919286293288071,1.0058571725535259e-09,1.5592847053843191e-06,6.812695630742383e-07,1.6865910907881697e-07,0.8919274608294169,1.0896451650902841e-06,0.008919285299877325,0.0,0.0,1.162088696161906,1.6047035217285157,0.05000000000000002,15,108|224|72|171|190,57,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot5\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot5\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-Cons,fixed,cosine,radial_cons,8,1.0,0.49693048000335693,0.5054519772529602,0.5029878616333008,0.5023585|0.50321966|0.50418365|0.502909|0.50545198|0.50463271|0.50421709|0.49693048,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,3,2,0.9517284353574117,0.9331852515538533,0.19171319802602133,0.008957518513003986,6.173637941605156e-09,9.434239836991765e-06,4.7479661740605176e-06,4.822473632278464e-07,0.8957451343536377,6.118957783958952e-06,0.00895751230418682,0.0,0.0,0.8758623441060384,1.0645098050435384,0.05000000000000002,15,108|224|72|171|190,57,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot5\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot5\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-Cons,fixed,cosine,radial_cons,8,1.0,0.4958983063697815,0.5083703398704529,0.5038238763809204,0.5013386|0.5037598|0.50531602|0.50244021|0.50837034|0.50695521|0.50651228|0.49589831,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,3,3,0.7426011284192403,0.7276364684104919,0.12020444869995117,0.008954446700712045,2.090741713089983e-08,2.0820603640459013e-05,1.5606610698644848e-05,3.2187454811113034e-06,0.8954312403996786,1.1346353070014932e-05,0.00895442571491003,0.0,0.0,0.6799722989400228,0.889479951063792,0.05000000000000002,15,108|224|72|171|190,57,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot5\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot5\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-Cons,fixed,cosine,radial_cons,8,1.0,0.49571990966796875,0.511593222618103,0.5049806237220764,0.50001174|0.50496781|0.50661373|0.50212115|0.51159322|0.50992304|0.50889415|0.49571991,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,3,4,0.6133125344912211,0.6014347712198893,0.058512547860542934,0.008952131494879723,4.609136373308805e-08,3.7780991260660815e-05,3.22710311593255e-05,1.0042231951956638e-05,0.8951891938845317,1.9366077200781243e-05,0.008952085425456365,0.0,0.0,0.561018188794454,0.7523322820663452,0.05000000000000002,15,108|224|72|171|190,57,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot5\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot5\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-Cons,fixed,cosine,radial_cons,8,1.0,0.49481531977653503,0.5148133635520935,0.5058163404464722,0.4983024|0.50519335|0.50784296|0.50241482|0.51481336|0.51266629|0.51048231|0.49481532,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,3,5,0.5273522953192393,0.5169220904509226,0.02984636475642522,0.008937889027098815,8.703812236869149e-08,6.255499853674943e-05,5.749507981818169e-05,2.3287540049447367e-05,0.893751585483551,2.864886713117206e-05,0.008937801979482175,0.0,0.0,0.4829895695050557,0.642592453956604,0.05000000000000002,15,108|224|72|171|190,57,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot5\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot5\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-Cons,fixed,cosine,radial_cons,8,1.0,0.493218332529068,0.5182548761367798,0.5065907835960388,0.49577644|0.5053072|0.50905633|0.50228357|0.51825488|0.51631761|0.51251197|0.49321833,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,3,6,0.47423615455627444,0.464172371228536,0.02228275816887617,0.008949643559753894,1.3836677652534491e-07,9.440354915568605e-05,8.943745876119161e-05,3.948895864596125e-05,0.8949121077855428,3.843394370051101e-05,0.008949505165219307,0.0,0.0,0.4297877828280131,0.606546680132548,0.05000000000000002,15,108|224|72|171|190,57,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot5\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot5\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-Cons,fixed,cosine,radial_cons,8,1.0,0.4914436638355255,0.5201403498649597,0.5074654817581177,0.49412367|0.50584197|0.50992966|0.5033195|0.52014035|0.51975107|0.51517379|0.49144366,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,3,7,0.4265173276265462,0.41661195357640585,0.018783476824561756,0.008966197135547797,2.035996288896058e-07,0.0001374352204341752,0.00013244142998397972,5.741467054273623e-05,0.8965503851572673,4.900470157735981e-05,0.008965993548432987,0.0,0.0,0.3876325050989787,0.5483824988206227,0.05000000000000002,15,108|224|72|171|190,57,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot5\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot5\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-Cons,fixed,cosine,radial_cons,8,1.0,0.4894356429576874,0.5228338837623596,0.5083337426185608,0.49235809|0.50790888|0.51128989|0.50322354|0.52164847|0.52283388|0.51797158|0.48943564,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,3,8,0.3821915288766225,0.37269206047058107,0.011196671643604834,0.008939634077250957,2.738330806550948e-07,0.00018417642180187008,0.00018229079820836585,7.312462597231691e-05,0.8938737233479818,6.230524425821689e-05,0.008939360206325849,0.0,0.0,0.34600487947463987,0.5002652645111084,0.05000000000000002,15,108|224|72|171|190,57,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot5\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot5\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-Cons,fixed,cosine,radial_cons,8,1.0,0.48768487572669983,0.5245367288589478,0.5090274810791016,0.49142948|0.50847822|0.51279217|0.50462484|0.52314681|0.52453673|0.51952654|0.48768488,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,3,9,0.338129852215449,0.32861655950546265,0.011477955648054679,0.008939388828972975,3.430623697416498e-07,0.0002290226218368237,0.00023125155130401253,8.890854999966298e-05,0.8938294569651286,7.513527331563334e-05,0.00893904579182466,0.0,0.0,0.30407137870788575,0.4610652188460032,0.05000000000000002,15,108|224|72|171|190,57,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot5\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot5\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-Cons,fixed,cosine,radial_cons,8,1.0,0.4862574338912964,0.5265405178070068,0.5097434520721436,0.49078494|0.50901473|0.51406538|0.50525254|0.52466261|0.52654052|0.52136904|0.48625743,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.01,0.01,1e-06,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,3,10,0.2982752760251363,0.288834418853124,0.01026505148038268,0.008927598719795544,3.9615124857543076e-07,0.00026937429793179036,0.0002704641471306483,9.874964792591831e-05,0.8926324566205343,8.781609018721307e-05,0.008927202535172303,0.0,0.0,0.2655174692471822,0.42218030889829,0.05000000000000002,15,108|224|72|171|190,57,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot5\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGateCons\a0p08\rho0p5\gb8\sadg0p05\cons0p01\shot5\Seed3
