loss_mode,ablation,sadg_method,style_method,template_mode,mask_mode,style_alpha,style_rho,sadg_rho,lambda_disp,dice_weight,rho,rho_tag,sadg_rho_tag,lf_radius_h,lf_radius_w,lf_size_h,lf_size_w,checkpoint_source,shot,seed,epoch,train_loss,train_seg_loss,train_disp_loss,style_reg_loss,template_l2_loss,template_smooth_loss,epsilon_loss,sadg_grad_norm,perturb_norm,steps,train_case_ids,n_train_slices,slice_policy,num_middle_slices,filter_min_fg,output_dir,prompt_dir
Seg-SADG,Seg-SADG,Seg-SADG,LF-Fixed-Cosine,fixed,cosine,0.08,0.5,0.05,0.05,0.5,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,4,1,1.4185991138219833,1.3902709186077118,0.566564192995429,0.0,0.0,0.0,1.2853968441486359,2.2018226087093353,0.05,16,108|154|53|179|249,64,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_LowFreqCanonicalization\Seg-SADG\LF-Fixed-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed4,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\LF-Fixed-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed4
Seg-SADG,Seg-SADG,Seg-SADG,LF-Fixed-Cosine,fixed,cosine,0.08,0.5,0.05,0.05,0.5,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,4,2,0.9993975199759007,0.9776753224432468,0.4344439450651407,0.0,0.0,0.0,0.925024013966322,0.971475750207901,0.05,16,108|154|53|179|249,64,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_LowFreqCanonicalization\Seg-SADG\LF-Fixed-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed4,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\LF-Fixed-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed4
Seg-SADG,Seg-SADG,Seg-SADG,LF-Fixed-Cosine,fixed,cosine,0.08,0.5,0.05,0.05,0.5,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,4,3,0.8291250467300415,0.8111278899013996,0.35994308441877365,0.0,0.0,0.0,0.765992172062397,0.8307457864284515,0.05,16,108|154|53|179|249,64,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_LowFreqCanonicalization\Seg-SADG\LF-Fixed-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed4,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\LF-Fixed-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed4
Seg-SADG,Seg-SADG,Seg-SADG,LF-Fixed-Cosine,fixed,cosine,0.08,0.5,0.05,0.05,0.5,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,4,4,0.7160312682390213,0.7074244320392609,0.1721367142163217,0.0,0.0,0.0,0.6482565328478813,0.9191572703421116,0.05,16,108|154|53|179|249,64,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_LowFreqCanonicalization\Seg-SADG\LF-Fixed-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed4,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\LF-Fixed-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed4
Seg-SADG,Seg-SADG,Seg-SADG,LF-Fixed-Cosine,fixed,cosine,0.08,0.5,0.05,0.05,0.5,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,4,5,0.6253813728690147,0.6230265386402607,0.047096631256863475,0.0,0.0,0.0,0.5838980600237846,0.7254078984260559,0.05,16,108|154|53|179|249,64,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_LowFreqCanonicalization\Seg-SADG\LF-Fixed-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed4,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\LF-Fixed-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed4
Seg-SADG,Seg-SADG,Seg-SADG,LF-Fixed-Cosine,fixed,cosine,0.08,0.5,0.05,0.05,0.5,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,4,6,0.551341712474823,0.5499135218560696,0.02856392494868487,0.0,0.0,0.0,0.5153455156832933,0.6432882472872734,0.05,16,108|154|53|179|249,64,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_LowFreqCanonicalization\Seg-SADG\LF-Fixed-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed4,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\LF-Fixed-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed4
Seg-SADG,Seg-SADG,Seg-SADG,LF-Fixed-Cosine,fixed,cosine,0.08,0.5,0.05,0.05,0.5,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,4,7,0.4946760665625334,0.4936547074466944,0.02042730338871479,0.0,0.0,0.0,0.4611714128404856,0.6056840196251869,0.05,16,108|154|53|179|249,64,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_LowFreqCanonicalization\Seg-SADG\LF-Fixed-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed4,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\LF-Fixed-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed4
Seg-SADG,Seg-SADG,Seg-SADG,LF-Fixed-Cosine,fixed,cosine,0.08,0.5,0.05,0.05,0.5,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,4,8,0.4423654284328222,0.44163477048277855,0.014613142644520849,0.0,0.0,0.0,0.4125340450555086,0.5551662724465132,0.05,16,108|154|53|179|249,64,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_LowFreqCanonicalization\Seg-SADG\LF-Fixed-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed4,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\LF-Fixed-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed4
Seg-SADG,Seg-SADG,Seg-SADG,LF-Fixed-Cosine,fixed,cosine,0.08,0.5,0.05,0.05,0.5,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,4,9,0.4074698816984892,0.4066866673529148,0.01566429081140086,0.0,0.0,0.0,0.377681752666831,0.5304158292710781,0.05,16,108|154|53|179|249,64,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_LowFreqCanonicalization\Seg-SADG\LF-Fixed-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed4,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\LF-Fixed-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed4
Seg-SADG,Seg-SADG,Seg-SADG,LF-Fixed-Cosine,fixed,cosine,0.08,0.5,0.05,0.05,0.5,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,4,10,0.379271661862731,0.37853192165493965,0.014794729475397617,0.0,0.0,0.0,0.3500144314020872,0.5123206004500389,0.05,16,108|154|53|179|249,64,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_LowFreqCanonicalization\Seg-SADG\LF-Fixed-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed4,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\LF-Fixed-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed4
