loss_mode,ablation,sadg_method,style_method,template_mode,mask_mode,style_alpha,style_rho,sadg_rho,lambda_disp,dice_weight,rho,rho_tag,sadg_rho_tag,lf_radius_h,lf_radius_w,lf_size_h,lf_size_w,checkpoint_source,shot,seed,epoch,train_loss,train_seg_loss,train_disp_loss,style_reg_loss,template_l2_loss,template_smooth_loss,epsilon_loss,sadg_grad_norm,perturb_norm,steps,train_case_ids,n_train_slices,slice_policy,num_middle_slices,filter_min_fg,output_dir,prompt_dir
Seg-SADG,Seg-SADG,Seg-SADG,LF-Trainable-Cosine,trainable,cosine,0.08,0.5,0.05,0.05,0.5,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,1,1,1.3066957632700602,1.2813645362854005,0.505592159430186,5.162069428479299e-05,3.679155011829269e-05,0.5161701679229737,1.18653347492218,1.8919565041859945,0.05000000000000002,15,72|31|126|53|108,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_LowFreqCanonicalization\Seg-SADG\LF-Trainable-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\LF-Trainable-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Trainable-Cosine,trainable,cosine,0.08,0.5,0.05,0.05,0.5,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,1,2,0.9043105204900106,0.8862072904904683,0.36104928255081176,5.07698665993909e-05,0.00024169624521164224,0.5074569781621298,0.8346049388249716,0.9587867577870687,0.05000000000000002,15,72|31|126|53|108,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_LowFreqCanonicalization\Seg-SADG\LF-Trainable-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\LF-Trainable-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Trainable-Cosine,trainable,cosine,0.08,0.5,0.05,0.05,0.5,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,1,3,0.7453766266504923,0.7350010434786479,0.20650760531425477,5.021017762677123e-05,0.0005864519121435781,0.5015153328577677,0.6930551528930664,0.7776543656984966,0.05000000000000002,15,72|31|126|53|108,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_LowFreqCanonicalization\Seg-SADG\LF-Trainable-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\LF-Trainable-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Trainable-Cosine,trainable,cosine,0.08,0.5,0.05,0.05,0.5,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,1,4,0.6608569582303365,0.6535242358843486,0.14565826555093128,4.9806521080123885e-05,0.000980129069648683,0.4970850904782613,0.6162355383237202,0.692527425289154,0.05000000000000002,15,72|31|126|53|108,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_LowFreqCanonicalization\Seg-SADG\LF-Trainable-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\LF-Trainable-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Trainable-Cosine,trainable,cosine,0.08,0.5,0.05,0.05,0.5,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,1,5,0.5922582745552063,0.5868403712908427,0.1073697621623675,4.9419255083194004e-05,0.0013967677562807996,0.49279579718907673,0.5524651050567627,0.6259133537610372,0.05000000000000002,15,72|31|126|53|108,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_LowFreqCanonicalization\Seg-SADG\LF-Trainable-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\LF-Trainable-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Trainable-Cosine,trainable,cosine,0.08,0.5,0.05,0.05,0.5,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,1,6,0.5293235023816426,0.5247997164726257,0.08949389706055323,4.9086988777465494e-05,0.0018273344341044626,0.48904257218043007,0.4931277632713318,0.5840964992841085,0.05000000000000002,15,72|31|126|53|108,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_LowFreqCanonicalization\Seg-SADG\LF-Trainable-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\LF-Trainable-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Trainable-Cosine,trainable,cosine,0.08,0.5,0.05,0.05,0.5,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,1,7,0.48530247012774147,0.4815108358860016,0.07485696723063787,4.878251541716357e-05,0.0022761625858644646,0.48554900884628294,0.45285988847414654,0.5240277945995331,0.05000000000000002,15,72|31|126|53|108,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_LowFreqCanonicalization\Seg-SADG\LF-Trainable-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\LF-Trainable-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Trainable-Cosine,trainable,cosine,0.08,0.5,0.05,0.05,0.5,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,1,8,0.44198071360588076,0.4387223641077677,0.06419668023784955,4.851532527633632e-05,0.002749049011617899,0.4824042101701101,0.41427745421727497,0.45436846812566123,0.05000000000000002,15,72|31|126|53|108,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_LowFreqCanonicalization\Seg-SADG\LF-Trainable-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\LF-Trainable-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Trainable-Cosine,trainable,cosine,0.08,0.5,0.05,0.05,0.5,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,1,9,0.4079553683598836,0.4049571673075358,0.05899857034285863,4.827503507840447e-05,0.0031749508654077847,0.47957541545232135,0.3823992530504862,0.42296786506970724,0.05000000000000002,15,72|31|126|53|108,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_LowFreqCanonicalization\Seg-SADG\LF-Trainable-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\LF-Trainable-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Trainable-Cosine,trainable,cosine,0.08,0.5,0.05,0.05,0.5,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,1,10,0.3817287544409434,0.37894916733105977,0.054630263894796374,4.807244331459515e-05,0.0035935740762700636,0.4771308700243632,0.3566451291243235,0.41467122634251913,0.05000000000000002,15,72|31|126|53|108,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_LowFreqCanonicalization\Seg-SADG\LF-Trainable-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\LF-Trainable-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed1
Seg-SADG,Seg-SADG,Seg-SADG,LF-Trainable-Cosine,trainable,cosine,0.08,0.5,0.05,0.05,0.5,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,1,11,0.36170013348261515,0.35917885104815167,0.04946770643194517,4.789636125982118e-05,0.00400451086461544,0.4749591151873271,0.3368570367495219,0.4190812607606252,0.05000000000000002,15,72|31|126|53|108,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_LowFreqCanonicalization\Seg-SADG\LF-Trainable-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed1,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\LF-Trainable-Cosine\alpha0p08\style_rho0p5\sadg_rho0p05\shot5\Seed1
