experiment,base_method,loss_mode,ablation,sadg_method,bn_method,bn_method_tag,bn_layers,bn_mu_std,bn_logvar_std,bn_adv_radius,lambda_bn_cons,lambda_bn_adv,lambda_bn_sens,lambda_bn_affine,lambda_bn_compact,lambda_disp,dice_weight,rho,rho_tag,checkpoint_source,shot,seed,epoch,train_loss,train_base_loss,train_seg_loss,train_disp_loss,epsilon_loss,sadg_grad_norm,perturb_norm,bn_cons_loss,bn_adv_loss,bn_sens_loss,bn_affine_loss,bn_compact_loss,bn_total_reg_loss,steps,train_case_ids,n_train_slices,slice_policy,num_middle_slices,filter_min_fg,output_dir
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,4,4,1,1.4595970937183924,1.4595970937183924,1.4329204985073634,0.533531910606793,1.3187510967254639,2.321720540523529,0.05000000000000001,0.0,0.0,0.0,3.0345085790932963e-05,0.0,3.0345084938434833e-09,14,108|154|53|179,53,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot4\Seed4
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,4,4,2,1.1222061600003923,1.1222061600003923,1.0998284944466181,0.4475534622158323,1.035665260893958,1.190492297921862,0.05000000000000001,0.0,0.0,0.0,0.0001327382649053886,0.0,1.3273826101770477e-08,14,108|154|53|179,53,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot4\Seed4
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,4,4,3,0.9968571960926056,0.9968571960926056,0.9743957008634295,0.44922976195812225,0.9216870452676501,0.9638062715530396,0.05000000000000001,0.0,0.0,0.0,0.0002405437678264986,0.0,2.4054376268622946e-08,14,108|154|53|179,53,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot4\Seed4
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,4,4,4,0.9110473436968667,0.9110472926071712,0.8913033987794604,0.3948777903403555,0.8445473228182111,0.8545432984828949,0.05000000000000001,0.0,0.0,0.0,0.0003216348185170708,0.0,3.216348076762188e-08,14,108|154|53|179,53,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot4\Seed4
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,4,4,5,0.8183619124548775,0.8183618528502328,0.8088586798736027,0.19006350955792836,0.7598548361233303,0.8935072720050812,0.05000000000000001,0.0,0.0,0.0,0.0004103341884079522,0.0,4.103341793333064e-08,14,108|154|53|179,53,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot4\Seed4
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,4,4,6,0.7422155397278922,0.7422154801232475,0.7373825694833483,0.09665824792214803,0.679749459028244,0.8749393905912127,0.05000000000000001,0.0,0.0,0.0,0.0005022620441325541,0.0,5.022620338682568e-08,14,108|154|53|179,53,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot4\Seed4
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,4,4,7,0.6764389531952995,0.6764388935906547,0.6731525489262172,0.06572705294404711,0.6281698260988507,0.8315198421478271,0.05000000000000001,0.0,0.0,0.0,0.0006279561618742134,0.0,6.279561454951882e-08,14,108|154|53|179,53,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot4\Seed4
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,4,4,8,0.6108530291489193,0.6108529695442745,0.6087272805827004,0.042513785883784294,0.5682202236992973,0.7391891990389142,0.05000000000000001,0.0,0.0,0.0,0.0007821540389808693,0.0,7.821540291631988e-08,14,108|154|53|179,53,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot4\Seed4
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,4,4,9,0.5736413214887891,0.5736412363392966,0.5697627791336605,0.07756909741354841,0.5297623106411525,0.7385632055146354,0.05000000000000001,0.0,0.0,0.0,0.0008851989779421794,0.0,8.851989465240098e-08,14,108|154|53|179,53,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot4\Seed4
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,4,4,10,0.5124316385814122,0.5124315300158092,0.5110934951475689,0.026760593788432225,0.4761704887662615,0.6510061749390194,0.05000000000000001,0.0,0.0,0.0,0.0009678085667214223,0.0,9.678085431476444e-08,14,108|154|53|179,53,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot4\Seed4
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,4,4,11,0.47976947256496977,0.47976936612810406,0.4784541406801769,0.02630454591209335,0.4439648283379419,0.6387948223522731,0.05000000000000001,0.0,0.0,0.0,0.0010429807506235583,0.0,1.0429807214710049e-07,14,108|154|53|179,53,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot4\Seed4
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,4,4,12,0.4547345382826669,0.45473441907337736,0.4533457266432898,0.027773853524455,0.41771468094417025,0.6144331778798785,0.05000000000000001,0.0,0.0,0.0,0.0011313138945427323,0.0,1.1313138616385134e-07,14,108|154|53|179,53,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot4\Seed4
