experiment,base_method,loss_mode,ablation,sadg_method,bn_method,bn_method_tag,bn_layers,bn_mu_std,bn_logvar_std,bn_adv_radius,lambda_bn_cons,lambda_bn_adv,lambda_bn_sens,lambda_bn_affine,lambda_bn_compact,lambda_disp,dice_weight,rho,rho_tag,checkpoint_source,shot,seed,epoch,train_loss,train_base_loss,train_seg_loss,train_disp_loss,epsilon_loss,sadg_grad_norm,perturb_norm,bn_cons_loss,bn_adv_loss,bn_sens_loss,bn_affine_loss,bn_compact_loss,bn_total_reg_loss,steps,train_case_ids,n_train_slices,slice_policy,num_middle_slices,filter_min_fg,output_dir
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,5,0,1,1.3677408218383789,1.3677408218383789,1.3411643028259277,0.5315302650133769,1.24229842821757,1.9160802443822225,0.05000000000000002,0.0,0.0,0.0,3.691697844120749e-05,0.0,3.6916977693996627e-09,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot5\Seed0
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,5,0,2,1.024131755034129,1.024131755034129,1.0026766220728556,0.42910289764404297,0.9489611148834228,0.999696143468221,0.05000000000000002,0.0,0.0,0.0,0.00017602561565581708,0.0,1.760256112722421e-08,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot5\Seed0
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,5,0,3,0.8998585859934489,0.899858558177948,0.8784874598185222,0.42742196718851727,0.8308550238609314,0.8826806505521139,0.05000000000000002,0.0,0.0,0.0,0.0002994321713534494,0.0,2.994321602519297e-08,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot5\Seed0
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,5,0,4,0.7812561353047689,0.7812560757001241,0.7621611952781677,0.38189756671587627,0.7157949527104696,0.841646420955658,0.05000000000000002,0.0,0.0,0.0,0.0004120216763112694,0.0,4.120216630099094e-08,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot5\Seed0
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,5,0,5,0.6972107092539469,0.6972106496493021,0.6841370622316997,0.2614716351032257,0.6424095392227173,0.7691974480946858,0.05000000000000002,0.0,0.0,0.0,0.000451420988732328,0.0,4.514209782276642e-08,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot5\Seed0
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,5,0,6,0.6429034113883972,0.6429033517837525,0.6334413607915242,0.1892397592465083,0.5949871102968852,0.7009215990702311,0.05000000000000002,0.0,0.0,0.0,0.0004870786719645063,0.0,4.870786630325104e-08,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot5\Seed0
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,5,0,7,0.5926699995994568,0.592669939994812,0.5868985732396443,0.1154271831115087,0.5512418150901794,0.6713704029719035,0.05000000000000002,0.0,0.0,0.0,0.00049127748546501,0.0,4.9127747795788913e-08,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot5\Seed0
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,5,0,8,0.5478259046872457,0.5478258450826009,0.5427814881006877,0.10088708301385244,0.5094814717769622,0.605549935499827,0.05000000000000002,0.0,0.0,0.0,0.0005056594886506597,0.0,5.056594787333779e-08,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot5\Seed0
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,5,0,9,0.5018105268478393,0.5018104672431946,0.49794421593348187,0.0773250790933768,0.46544727087020876,0.5927470048268636,0.05000000000000002,0.0,0.0,0.0,0.0005157232711402079,0.0,5.1572325550826764e-08,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot5\Seed0
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,5,0,10,0.45173553625742596,0.4517354766527812,0.44890471498171486,0.05661526173353195,0.41850048303604126,0.561819581190745,0.05000000000000002,0.0,0.0,0.0,0.0005460269011867543,0.0,5.460268894807996e-08,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot5\Seed0
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,5,0,11,0.40711365739504496,0.4071135977904002,0.4045235514640808,0.051800910383462906,0.37924273014068605,0.4809901813666026,0.05000000000000002,0.0,0.0,0.0,0.0005985951283946633,0.0,5.985951195460378e-08,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot5\Seed0
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,5,0,12,0.37340439756711324,0.37340433796246847,0.3709583401679993,0.04892001003026962,0.3462427337964376,0.4623192052046458,0.05000000000000002,0.0,0.0,0.0,0.0006305495121826728,0.0,6.305494935077149e-08,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot5\Seed0
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,5,0,13,0.344272255897522,0.3442721962928772,0.34208189050356547,0.04380619451403618,0.31885982553164166,0.43678888281186423,0.05000000000000002,0.0,0.0,0.0,0.0006415013146276275,0.0,6.415012971198545e-08,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot5\Seed0
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,5,0,14,0.32229138215382896,0.3222913225491842,0.3201471149921417,0.04288412680228551,0.29680500825246176,0.4417383551597595,0.05000000000000002,0.0,0.0,0.0,0.0006611848676887651,0.0,6.611848514618638e-08,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot5\Seed0
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Affine,BN-Affine,Seg-SADG,BN-Affine,bn_affine,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,5,0,15,0.2960218449433645,0.2960217853387197,0.29420581261316936,0.03631947040557861,0.2725557923316956,0.4014594276746114,0.05000000000000002,0.0,0.0,0.0,0.0006943314646681149,0.0,6.943314474483487e-08,15,179|180|23|126|219,60,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Affine\shot5\Seed0
