experiment,base_method,loss_mode,ablation,sadg_method,bn_method,bn_method_tag,bn_layers,bn_mu_std,bn_logvar_std,bn_adv_radius,lambda_bn_cons,lambda_bn_adv,lambda_bn_sens,lambda_bn_affine,lambda_bn_compact,lambda_disp,dice_weight,rho,rho_tag,checkpoint_source,shot,seed,epoch,train_loss,train_base_loss,train_seg_loss,train_disp_loss,epsilon_loss,sadg_grad_norm,perturb_norm,bn_cons_loss,bn_adv_loss,bn_sens_loss,bn_affine_loss,bn_compact_loss,bn_total_reg_loss,steps,train_case_ids,n_train_slices,slice_policy,num_middle_slices,filter_min_fg,output_dir
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Compact,BN-Compact,Seg-SADG,BN-Compact,bn_compact,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,3,4,1,1.5572433948516846,1.5572418212890624,1.5265302777290344,0.6142308652400971,1.3966443181037902,2.6635018944740296,0.05,0.0,0.0,0.0,0.0,0.0015716181718744338,1.5716182360847596e-06,10,108|154|53,39,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Compact\shot3\Seed4
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Compact,BN-Compact,Seg-SADG,BN-Compact,bn_compact,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,3,4,2,1.2126081824302672,1.2126049876213074,1.1883548617362976,0.4850026160478592,1.1185616731643677,1.3102213859558105,0.05,0.0,0.0,0.0,0.0,0.003180347930174321,3.180348099363073e-06,10,108|154|53,39,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Compact\shot3\Seed4
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Compact,BN-Compact,Seg-SADG,BN-Compact,bn_compact,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,3,4,3,1.0918325066566468,1.0918286919593811,1.0685576796531677,0.46542018949985503,1.008455514907837,1.1123651146888733,0.05,0.0,0.0,0.0,0.0,0.003813226011698134,3.8132262318413266e-06,10,108|154|53,39,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Compact\shot3\Seed4
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Compact,BN-Compact,Seg-SADG,BN-Compact,bn_compact,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,3,4,4,1.0238926708698273,1.0238892614841462,1.001880019903183,0.440185073018074,0.9381210565567016,1.0493247389793396,0.05,0.0,0.0,0.0,0.0,0.0034099382522981615,3.4099383583452436e-06,10,108|154|53,39,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Compact\shot3\Seed4
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Compact,BN-Compact,Seg-SADG,BN-Compact,bn_compact,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,3,4,5,0.9536365985870361,0.9536329627037048,0.9313867390155792,0.4449244111776352,0.8846548616886138,0.8702923119068146,0.05,0.0,0.0,0.0,0.0,0.003649720031535253,3.6497201335805586e-06,10,108|154|53,39,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Compact\shot3\Seed4
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Compact,BN-Compact,Seg-SADG,BN-Compact,bn_compact,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,3,4,6,0.8829226136207581,0.882918381690979,0.8646283149719238,0.36580149829387665,0.8192898869514466,0.8438338458538055,0.05,0.0,0.0,0.0,0.0,0.004232972615864128,4.232972901263565e-06,10,108|154|53,39,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Compact\shot3\Seed4
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Compact,BN-Compact,Seg-SADG,BN-Compact,bn_compact,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,3,4,7,0.7933135747909545,0.7933099210262299,0.7844671070575714,0.17685641199350358,0.7340959131717681,0.9228971064090729,0.05,0.0,0.0,0.0,0.0,0.0036563700516126117,3.6563702749958793e-06,10,108|154|53,39,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Compact\shot3\Seed4
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Compact,BN-Compact,Seg-SADG,BN-Compact,bn_compact,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,3,4,8,0.7182441711425781,0.71824049949646,0.7139967620372772,0.08487466536462307,0.6672690272331238,0.8642454385757447,0.05,0.0,0.0,0.0,0.0,0.0036733278597239406,3.6733280296630256e-06,10,108|154|53,39,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Compact\shot3\Seed4
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Compact,BN-Compact,Seg-SADG,BN-Compact,bn_compact,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,3,4,9,0.6830055117607117,0.6830009400844574,0.6798794448375702,0.06242982186377048,0.6305367767810821,0.8268041372299194,0.05,0.0,0.0,0.0,0.0,0.004578808631049469,4.578808841415594e-06,10,108|154|53,39,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Compact\shot3\Seed4
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Compact,BN-Compact,Seg-SADG,BN-Compact,bn_compact,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,3,4,10,0.6354903519153595,0.6354861557483673,0.6333528399467468,0.04266639035195112,0.5920383989810943,0.7574687004089355,0.05,0.0,0.0,0.0,0.0,0.004195165634155273,4.19516585452584e-06,10,108|154|53,39,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Compact\shot3\Seed4
