experiment,base_method,loss_mode,ablation,sadg_method,bn_method,bn_method_tag,bn_layers,bn_mu_std,bn_logvar_std,bn_adv_radius,lambda_bn_cons,lambda_bn_adv,lambda_bn_sens,lambda_bn_affine,lambda_bn_compact,lambda_disp,dice_weight,rho,rho_tag,checkpoint_source,shot,seed,epoch,train_loss,train_base_loss,train_seg_loss,train_disp_loss,epsilon_loss,sadg_grad_norm,perturb_norm,bn_cons_loss,bn_adv_loss,bn_sens_loss,bn_affine_loss,bn_compact_loss,bn_total_reg_loss,steps,train_case_ids,n_train_slices,slice_policy,num_middle_slices,filter_min_fg,output_dir
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Compact,BN-Compact,Seg-SADG,BN-Compact,bn_compact,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,4,1,1,1.2243020335833232,1.2243012090524037,1.2012230902910233,0.4615626037120819,1.116861805319786,1.680121084054311,0.05000000000000001,0.0,0.0,0.0,0.0,0.000815426763438154,8.154268063738831e-07,12,72|31|126|53,47,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Compact\shot4\Seed1
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Compact,BN-Compact,Seg-SADG,BN-Compact,bn_compact,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,4,1,2,0.89780160288016,0.8978007187445959,0.8858900914589564,0.2382125916580359,0.8385640482107798,0.8818448086579641,0.05000000000000001,0.0,0.0,0.0,0.0,0.000878543192811776,8.785432304610671e-07,12,72|31|126|53,47,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Compact\shot4\Seed1
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Compact,BN-Compact,Seg-SADG,BN-Compact,bn_compact,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,4,1,3,0.744859496752421,0.7448584586381912,0.7408381750186285,0.08040559447060029,0.7016874601443609,0.7328369518121084,0.05000000000000001,0.0,0.0,0.0,0.0,0.0010399498726959184,1.0399499217328412e-06,12,72|31|126|53,47,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Compact\shot4\Seed1
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Compact,BN-Compact,Seg-SADG,BN-Compact,bn_compact,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,4,1,4,0.6399739782015482,0.6399730195601782,0.637946660319964,0.040527173628409706,0.6018224656581879,0.6658336023489634,0.05000000000000001,0.0,0.0,0.0,0.0,0.0009676385840672689,9.676386329241875e-07,12,72|31|126|53,47,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Compact\shot4\Seed1
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Compact,BN-Compact,Seg-SADG,BN-Compact,bn_compact,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,4,1,5,0.569328193863233,0.5693270415067673,0.5678785492976507,0.028969829281171162,0.5345629503329595,0.6192065378030142,0.05000000000000001,0.0,0.0,0.0,0.0,0.0011501201806822792,1.1501202384541405e-06,12,72|31|126|53,47,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Compact\shot4\Seed1
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Compact,BN-Compact,Seg-SADG,BN-Compact,bn_compact,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,4,1,6,0.5181436712543169,0.5181425487001737,0.5170653710762659,0.02154359904428323,0.4828382134437561,0.6075520267089208,0.05000000000000001,0.0,0.0,0.0,0.0,0.0011277243320364505,1.1277243909072847e-06,12,72|31|126|53,47,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Compact\shot4\Seed1
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Compact,BN-Compact,Seg-SADG,BN-Compact,bn_compact,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,4,1,7,0.4775201951464017,0.47751916696627933,0.4766201029221217,0.01798133986691634,0.44740725060304004,0.5412100851535797,0.05000000000000001,0.0,0.0,0.0,0.0,0.0010268291904746245,1.0268292385262612e-06,12,72|31|126|53,47,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Compact\shot4\Seed1
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Compact,BN-Compact,Seg-SADG,BN-Compact,bn_compact,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,4,1,8,0.44720294574896496,0.44720180084307987,0.44657328476508457,0.01257034728769213,0.4174981787800789,0.5149147063493729,0.05000000000000001,0.0,0.0,0.0,0.0,0.0011430902862533305,1.1430903488947781e-06,12,72|31|126|53,47,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Compact\shot4\Seed1
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Compact,BN-Compact,Seg-SADG,BN-Compact,bn_compact,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,4,1,9,0.4193455974260966,0.419344499707222,0.41883401075998944,0.010209780690881113,0.3915355975429217,0.5098506410916647,0.05000000000000001,0.0,0.0,0.0,0.0,0.0010967078172446538,1.0967078717764405e-06,12,72|31|126|53,47,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Compact\shot4\Seed1
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Compact,BN-Compact,Seg-SADG,BN-Compact,bn_compact,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,4,1,10,0.39440377801656723,0.39440278460582096,0.3939602201183637,0.008851234684698284,0.3657178382078807,0.480297788977623,0.05000000000000001,0.0,0.0,0.0,0.0,0.0009917548838226746,9.917549282552802e-07,12,72|31|126|53,47,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Compact\shot4\Seed1
