experiment,base_method,loss_mode,ablation,sadg_method,bn_method,bn_method_tag,bn_layers,bn_mu_std,bn_logvar_std,bn_adv_radius,lambda_bn_cons,lambda_bn_adv,lambda_bn_sens,lambda_bn_affine,lambda_bn_compact,lambda_disp,dice_weight,rho,rho_tag,checkpoint_source,shot,seed,epoch,train_loss,train_base_loss,train_seg_loss,train_disp_loss,epsilon_loss,sadg_grad_norm,perturb_norm,bn_cons_loss,bn_adv_loss,bn_sens_loss,bn_affine_loss,bn_compact_loss,bn_total_reg_loss,steps,train_case_ids,n_train_slices,slice_policy,num_middle_slices,filter_min_fg,output_dir
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Consistency,BN-Consistency,Seg-SADG,BN-Consistency,bn_consistency,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,5,2,1,1.6050118974276952,1.6048961281776428,1.5773716483797346,0.5504897790295737,1.4590240120887756,2.3044922947883606,0.05000000000000001,0.0023152683736822966,0.0,0.0,0.0,0.0,0.00011576342136062781,14,23|31|224|171|180,56,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Consistency\shot5\Seed2
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Consistency,BN-Consistency,Seg-SADG,BN-Consistency,bn_consistency,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,5,2,2,1.1335939764976501,1.1335806931768144,1.1113098348890031,0.44541701887335095,1.0453331896236964,1.178716778755188,0.05000000000000001,0.00026550195200668113,0.0,0.0,0.0,0.0,1.3275097834204125e-05,14,23|31|224|171|180,56,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Consistency\shot5\Seed2
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Consistency,BN-Consistency,Seg-SADG,BN-Consistency,bn_consistency,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,5,2,3,0.9971639811992645,0.997146474463599,0.9746656034673963,0.4496174624988011,0.9220229344708579,0.948882669210434,0.05000000000000001,0.0003502661919420851,0.0,0.0,0.0,0.0,1.75133101265601e-05,14,23|31|224|171|180,56,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Consistency\shot5\Seed2
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Consistency,BN-Consistency,Seg-SADG,BN-Consistency,bn_consistency,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,5,2,4,0.9185416655881065,0.9185209146567753,0.9000755037580218,0.36890805831977297,0.851118905203683,0.8865529213632856,0.05000000000000001,0.0004149471450156333,0.0,0.0,0.0,0.0,2.0747357520381877e-05,14,23|31|224|171|180,56,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Consistency\shot5\Seed2
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Consistency,BN-Consistency,Seg-SADG,BN-Consistency,bn_consistency,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,5,2,5,0.8501810388905662,0.8501535270895276,0.8389325397355216,0.22441986522504262,0.7935841168676104,0.7866667125906263,0.05000000000000001,0.0005501955986671549,0.0,0.0,0.0,0.0,2.750978033613397e-05,14,23|31|224|171|180,56,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Consistency\shot5\Seed2
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Consistency,BN-Consistency,Seg-SADG,BN-Consistency,bn_consistency,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,5,2,6,0.7853912711143494,0.7853616178035736,0.7786907255649567,0.1334178681884493,0.7388943902083805,0.7399814937795911,0.05000000000000001,0.0005929134983619276,0.0,0.0,0.0,0.0,2.9645675177952008e-05,14,23|31|224|171|180,56,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Consistency\shot5\Seed2
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Consistency,BN-Consistency,Seg-SADG,BN-Consistency,bn_consistency,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,5,2,7,0.7133542682443347,0.7132954384599414,0.7063646061079842,0.1386167114334447,0.662092421736036,0.7883557251521519,0.05000000000000001,0.0011766607868984075,0.0,0.0,0.0,0.0,5.8833040384342894e-05,14,23|31|224|171|180,56,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Consistency\shot5\Seed2
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Consistency,BN-Consistency,Seg-SADG,BN-Consistency,bn_consistency,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,5,2,8,0.6588500823293414,0.6588020409856524,0.6538239674908775,0.09956140390464238,0.6136822061879295,0.7416581511497498,0.05000000000000001,0.000960845803742164,0.0,0.0,0.0,0.0,4.804229066784111e-05,14,23|31|224|171|180,56,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Consistency\shot5\Seed2
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Consistency,BN-Consistency,Seg-SADG,BN-Consistency,bn_consistency,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,5,2,9,0.5934483323778424,0.5933957397937775,0.5905713737010956,0.05648730216281755,0.5536657060895648,0.6884133177144187,0.05000000000000001,0.0010518252945205728,0.0,0.0,0.0,0.0,5.259126568749447e-05,14,23|31|224|171|180,56,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Consistency\shot5\Seed2
PertubatedBNStatistics,Disperssion+Seg-SADG,BN-Consistency,BN-Consistency,Seg-SADG,BN-Consistency,bn_consistency,shallow,0.1,0.1,1.0,0.05,0.1,0.001,0.0001,0.001,0.05,0.5,0.05,rho0p05,new_training,5,2,10,0.5467922730105264,0.5467332048075539,0.5443851905209678,0.04696029344839709,0.5060748394046511,0.7066580482891628,0.05000000000000001,0.0011813428469135293,0.0,0.0,0.0,0.0,5.906714276144547e-05,14,23|31|224|171|180,56,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PertubatedBNStatistics\BN-Consistency\shot5\Seed2
