shot,seed,source_domain,train_case_ids,checkpoint_path,prompt_dir,prototype_path,gamma,gamma_tag,layer,class_id,class_name,prototype_index,n_prototypes,feature_dim,total_count,sample_count,cluster_sample_count,valid_center,prototype_norm,n_batches_used,n_slices_used
3,3,SIEMENS_SymphonyTim_37743_T1-TSE,108|224|72,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3\baseline_model_with_metadata.pt,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3\source_multilayer_prototypes.pt,0.0,gamma0,dec3,0,background,0,8,32,103531,50000,4660,1,0.6907528638839722,9,36
3,3,SIEMENS_SymphonyTim_37743_T1-TSE,108|224|72,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3\baseline_model_with_metadata.pt,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3\source_multilayer_prototypes.pt,0.0,gamma0,dec3,0,background,1,8,32,103531,50000,8549,1,0.7531635165214539,9,36
3,3,SIEMENS_SymphonyTim_37743_T1-TSE,108|224|72,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3\baseline_model_with_metadata.pt,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3\source_multilayer_prototypes.pt,0.0,gamma0,dec3,0,background,2,8,32,103531,50000,6429,1,0.7256794571876526,9,36
3,3,SIEMENS_SymphonyTim_37743_T1-TSE,108|224|72,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3\baseline_model_with_metadata.pt,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3\source_multilayer_prototypes.pt,0.0,gamma0,dec3,0,background,3,8,32,103531,50000,10331,1,0.7654175758361816,9,36
3,3,SIEMENS_SymphonyTim_37743_T1-TSE,108|224|72,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3\baseline_model_with_metadata.pt,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3\source_multilayer_prototypes.pt,0.0,gamma0,dec3,0,background,4,8,32,103531,50000,4748,1,0.7054714560508728,9,36
3,3,SIEMENS_SymphonyTim_37743_T1-TSE,108|224|72,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3\baseline_model_with_metadata.pt,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3\source_multilayer_prototypes.pt,0.0,gamma0,dec3,0,background,5,8,32,103531,50000,6827,1,0.6839526295661926,9,36
3,3,SIEMENS_SymphonyTim_37743_T1-TSE,108|224|72,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3\baseline_model_with_metadata.pt,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3\source_multilayer_prototypes.pt,0.0,gamma0,dec3,0,background,6,8,32,103531,50000,4883,1,0.7219374179840088,9,36
3,3,SIEMENS_SymphonyTim_37743_T1-TSE,108|224|72,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3\baseline_model_with_metadata.pt,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3\source_multilayer_prototypes.pt,0.0,gamma0,dec3,0,background,7,8,32,103531,50000,3573,1,0.7047547101974487,9,36
3,3,SIEMENS_SymphonyTim_37743_T1-TSE,108|224|72,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3\baseline_model_with_metadata.pt,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3\source_multilayer_prototypes.pt,0.0,gamma0,dec3,1,vertebrae,0,8,32,7562,7562,1340,1,0.9093756675720215,9,36
3,3,SIEMENS_SymphonyTim_37743_T1-TSE,108|224|72,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\DisperssionWithSADG_ConstraintStyleRegularization\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3\baseline_model_with_metadata.pt,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\Seg-SADG\BaryRadGate\a0p08\rho0p5\gb8\sadg0p05\nocons\shot3\Seed3\source_multilayer_prototypes.pt,0.0,gamma0,dec3,1,vertebrae,1,8,32,7562,7562,677,1,0.8040754199028015,9,36
