loss_mode,shot,seed,epoch,train_loss,train_ce_loss,train_dice_loss,steps,train_case_ids,n_train_slices,slice_policy,filter_min_fg,output_dir
PureCE,5,4,1,0.7879130318760872,0.7879130318760872,0.0,16,108|154|53|179|249,64,all_filtered,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PureCE\shot5\Seed4
PureCE,5,4,2,0.5100083239376545,0.5100083239376545,0.0,16,108|154|53|179|249,64,all_filtered,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PureCE\shot5\Seed4
PureCE,5,4,3,0.406668433919549,0.406668433919549,0.0,16,108|154|53|179|249,64,all_filtered,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PureCE\shot5\Seed4
PureCE,5,4,4,0.3411511518061161,0.3411511518061161,0.0,16,108|154|53|179|249,64,all_filtered,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PureCE\shot5\Seed4
PureCE,5,4,5,0.2929128799587488,0.2929128799587488,0.0,16,108|154|53|179|249,64,all_filtered,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PureCE\shot5\Seed4
PureCE,5,4,6,0.27850000001490116,0.27850000001490116,0.0,16,108|154|53|179|249,64,all_filtered,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PureCE\shot5\Seed4
PureCE,5,4,7,0.2223807591944933,0.2223807591944933,0.0,16,108|154|53|179|249,64,all_filtered,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PureCE\shot5\Seed4
PureCE,5,4,8,0.18874733243137598,0.18874733243137598,0.0,16,108|154|53|179|249,64,all_filtered,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PureCE\shot5\Seed4
PureCE,5,4,9,0.1683521829545498,0.1683521829545498,0.0,16,108|154|53|179|249,64,all_filtered,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PureCE\shot5\Seed4
PureCE,5,4,10,0.14495632983744144,0.14495632983744144,0.0,16,108|154|53|179|249,64,all_filtered,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PureCE\shot5\Seed4
PureCE,5,4,11,0.1321466462686658,0.1321466462686658,0.0,16,108|154|53|179|249,64,all_filtered,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PureCE\shot5\Seed4
PureCE,5,4,12,0.11974661238491535,0.11974661238491535,0.0,16,108|154|53|179|249,64,all_filtered,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PureCE\shot5\Seed4
PureCE,5,4,13,0.10703147854655981,0.10703147854655981,0.0,16,108|154|53|179|249,64,all_filtered,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PureCE\shot5\Seed4
PureCE,5,4,14,0.10077651403844357,0.10077651403844357,0.0,16,108|154|53|179|249,64,all_filtered,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PureCE\shot5\Seed4
PureCE,5,4,15,0.09312939085066319,0.09312939085066319,0.0,16,108|154|53|179|249,64,all_filtered,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\PureCE\shot5\Seed4
