loss_mode,ablation,sadg_method,style_method,template_mode,mask_mode,spatial_mask_mode,gate_mode,gate_num_bins,gate_rho_max,rho_bin_min,rho_bin_max,rho_bin_mean,rho_bins,spatial_margin_px,spatial_edge_calib,spatial_inner_calib,spatial_calib_mean,spatial_preserve_edge_mean,style_alpha,style_rho,sadg_rho,lambda_disp,dice_weight,lambda_gate_anchor,lambda_gate_smooth,lambda_gate_mono,lambda_spectral_consistency,lambda_gate_budget,spectral_cons_eps,spatial_mask_margin_px,spatial_mask_margin_min_px,spatial_mask_margin_max_px,spatial_mask_edge_init,spatial_mask_inner_init,lambda_spatial_anchor,lambda_spatial_budget,lambda_spatial_tv,lambda_spatial_source_bg_edge,lambda_spatial_source_fg_inner,rho,rho_tag,sadg_rho_tag,lf_radius_h,lf_radius_w,lf_size_h,lf_size_w,checkpoint_source,shot,seed,epoch,train_loss,train_seg_loss,train_disp_loss,style_reg_loss,gate_reg_loss,gate_anchor_loss,gate_smooth_loss,gate_mono_loss,spatial_reg_loss,spatial_anchor_loss,spatial_budget_loss,spatial_tv_loss,spatial_source_reg_loss,spatial_source_bg_edge_loss,spatial_source_fg_inner_loss,spectral_cons_loss,gate_budget_loss,spectral_style_loss,template_l2_loss,template_smooth_loss,epsilon_loss,sadg_grad_norm,perturb_norm,steps,train_case_ids,n_train_slices,slice_policy,num_middle_slices,filter_min_fg,output_dir,prompt_dir
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.4986726939678192,0.5021600127220154,0.5000750422477722,0.50162363|0.49887875|0.50084192|0.49867269|0.50216001|0.50010562|0.49934354|0.49897417,14.961897850036621,0.02013910748064518,0.9800592064857483,0.8489454388618469,0.1041829064488411,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,3,1,1.312186022599538,1.2859224279721577,0.525257815917333,6.834992708112017e-07,2.5438919235010182e-09,5.802836398061118e-07,1.661707344169372e-06,8.241560743490103e-07,6.809553809716817e-07,0.00034938616590807214,0.0002055955228570383,0.001259736716747284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.193053772052129,1.750442107518514,0.05000000000000001,12,108|224|72|171,48,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.4974735677242279,0.5029419660568237,0.4998275339603424,0.50294197|0.49897695|0.50260425|0.49747357|0.50199914|0.49841753|0.4981342|0.49807274,14.962077140808105,0.020152445882558823,0.9801910519599915,0.8490595817565918,0.10417792201042175,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,3,2,0.9915204991896948,0.9809653510649999,0.2110894446571668,6.811438548008179e-07,1.2143512269820652e-08,2.849100061060502e-06,8.361624054487038e-06,3.496977607634714e-06,6.690003431231162e-07,0.00034450326347723603,0.00019835643373274556,0.0012614063161890954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9217527955770493,1.1116682887077332,0.05000000000000001,12,108|224|72|171,48,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.49653467535972595,0.5036531686782837,0.4993148148059845,0.50242782|0.49910396|0.50365317|0.49653468|0.50164974|0.49660531|0.49738777|0.49715608,14.982067108154297,0.02017069235444069,0.9802327156066895,0.8489413261413574,0.10423492640256882,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,3,3,0.8143565307060877,0.8076881567637125,0.1333535611629486,6.896939908074273e-07,2.252176845018994e-08,5.955232836640789e-06,1.602539653807374e-05,5.900847630376423e-06,6.671722114030368e-07,0.0003422214091794255,0.00019890517069143243,0.0012604561634361744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7519156237443289,1.0234712958335876,0.05000000000000001,12,108|224|72|171,48,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.49568629264831543,0.5041328072547913,0.4988292157649994,0.50125605|0.499336|0.50413281|0.49588236|0.50160635|0.49568629|0.49592552|0.49680853,15.040507316589355,0.020035313442349434,0.9802191257476807,0.8484537601470947,0.10442488640546799,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,3,4,0.6643418918053309,0.6601353734731674,0.08411612672110398,7.038343975788545e-07,2.9339795482030695e-08,9.00272796873954e-06,2.113503463381979e-05,7.30448709873599e-06,6.74494605353478e-07,0.00034361395228188485,0.00020507717514798665,0.0012580347247421741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6155868172645569,0.8311821520328522,0.05000000000000001,12,108|224|72|171,48,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.4951939880847931,0.5050457715988159,0.49863675236701965,0.50014794|0.49934277|0.50504577|0.49519399|0.50126052|0.49557629|0.49534884|0.4971779,15.125630378723145,0.01980280689895153,0.9802224040031433,0.8477577567100525,0.1047024130821228,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,3,5,0.5829709420601527,0.5804842859506607,0.049718567791084446,7.388289446907947e-07,3.637357526287133e-08,1.1456787509208274e-05,2.604398059702362e-05,9.183914547368962e-06,7.024553620264365e-07,0.0003519199453876354,0.0002254200165528649,0.001251153744912396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5410159428914388,0.7416467070579529,0.05000000000000001,12,108|224|72|171,48,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.495123028755188,0.5056422352790833,0.49860259890556335,0.49854833|0.49929386|0.50564224|0.49512303|0.50148046|0.49561214|0.49535722|0.49776343,15.174226760864258,0.01966080255806446,0.9802156090736389,0.8473513722419739,0.10486096143722534,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,3,6,0.5058554038405418,0.5043663556377093,0.029765425249934196,7.717692890688946e-07,4.364356935108541e-08,1.2807306347895064e-05,3.094447841552513e-05,1.1418358705365486e-05,7.281257126123819e-07,0.00036170369761142257,0.00024182732280072136,0.0012459466912938903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46996278564135235,0.6494740595420202,0.05000000000000001,12,108|224|72|171,48,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.4951799511909485,0.5064149498939514,0.4984852373600006,0.49681276|0.49900651|0.50641495|0.49517995|0.50139827|0.49570191|0.49552196|0.49784568,15.195001602172852,0.019607283174991608,0.9802045226097107,0.8471713662147522,0.10492795705795288,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,3,7,0.44717683146397275,0.44624363631010056,0.018647946572552126,7.93761458339759e-07,5.035294462866583e-08,1.4168868574415683e-05,3.533730887284037e-05,1.3598746515223562e-05,7.43408520520461e-07,0.00036826748691964895,0.0002508213874534704,0.0012431962823029608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4142345115542412,0.6039549708366394,0.05000000000000001,12,108|224|72|171,48,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.4948790669441223,0.5070772171020508,0.49831265211105347,0.49515611|0.49888763|0.50707722|0.49487907|0.50095153|0.49546453|0.4959912|0.49809399,15.19874095916748,0.01959867775440216,0.9801788926124573,0.847118616104126,0.10494061559438705,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,3,8,0.39963772644599277,0.39874863376220065,0.01776568964123726,8.067821018660956e-07,5.668987620074025e-08,1.613555074679122e-05,3.939215760813871e-05,1.5684161629299826e-05,7.500922312904853e-07,0.0003713886787105973,0.0002544857028018062,0.0012421782109110306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36918776979049045,0.5536979337533315,0.05000000000000001,12,108|224|72|171,48,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.49339425563812256,0.5078893899917603,0.4980434775352478,0.49339426|0.4982608|0.50788939|0.49379155|0.50051099|0.49593738|0.49668017|0.49788338,15.195403099060059,0.019601894542574883,0.9801157712936401,0.8470909595489502,0.10493241250514984,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,3,9,0.362447830537955,0.3617357164621353,0.014225720001074174,8.244506659593753e-07,7.148241643051279e-08,2.0044456656857317e-05,4.892133832375597e-05,2.0556629503213724e-05,7.529682524894573e-07,0.0003729133992843951,0.00025586026458768174,0.001241945845928664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3345453316966693,0.509024349351724,0.05000000000000001,12,108|224|72|171,48,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.49256184697151184,0.508120596408844,0.49781566858291626,0.49256185|0.49846211|0.5081206|0.49314463|0.50024468|0.49529883|0.49695605|0.4977366,15.189937591552734,0.019603338092565536,0.9800916314125061,0.847113311290741,0.10491697490215302,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,3,10,0.3350604673226674,0.3344804421067238,0.011583835973093906,8.392578034014756e-07,8.512903211984242e-08,2.4032496943012422e-05,5.809241338283755e-05,2.463336522851023e-05,7.541287724658711e-07,0.00037377329863375053,0.00025612799314937246,0.0012422745445898424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3087636356552442,0.47591104606787366,0.05000000000000001,12,108|224|72|171,48,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3
