loss_mode,ablation,sadg_method,style_method,template_mode,mask_mode,spatial_mask_mode,gate_mode,gate_num_bins,gate_rho_max,rho_bin_min,rho_bin_max,rho_bin_mean,rho_bins,spatial_margin_px,spatial_edge_calib,spatial_inner_calib,spatial_calib_mean,spatial_preserve_edge_mean,style_alpha,style_rho,sadg_rho,lambda_disp,dice_weight,lambda_gate_anchor,lambda_gate_smooth,lambda_gate_mono,lambda_spectral_consistency,lambda_gate_budget,spectral_cons_eps,spatial_mask_margin_px,spatial_mask_margin_min_px,spatial_mask_margin_max_px,spatial_mask_edge_init,spatial_mask_inner_init,lambda_spatial_anchor,lambda_spatial_budget,lambda_spatial_tv,lambda_spatial_source_bg_edge,lambda_spatial_source_fg_inner,rho,rho_tag,sadg_rho_tag,lf_radius_h,lf_radius_w,lf_size_h,lf_size_w,checkpoint_source,shot,seed,epoch,train_loss,train_seg_loss,train_disp_loss,style_reg_loss,gate_reg_loss,gate_anchor_loss,gate_smooth_loss,gate_mono_loss,spatial_reg_loss,spatial_anchor_loss,spatial_budget_loss,spatial_tv_loss,spatial_source_reg_loss,spatial_source_bg_edge_loss,spatial_source_fg_inner_loss,spectral_cons_loss,gate_budget_loss,spectral_style_loss,template_l2_loss,template_smooth_loss,epsilon_loss,sadg_grad_norm,perturb_norm,steps,train_case_ids,n_train_slices,slice_policy,num_middle_slices,filter_min_fg,output_dir,prompt_dir
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.49735933542251587,0.5021549463272095,0.5000746250152588,0.50215495|0.50153422|0.50203544|0.50028163|0.49820244|0.49936864|0.49966025|0.49735934,15.027585983276367,0.019887475296854973,0.9801565408706665,0.8484808206558228,0.10440385341644287,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,2,1,1.4487989459718977,1.4226422905921936,0.523118759904589,6.889972813236714e-07,1.7464075582499357e-09,1.0186047611731347e-06,1.3359447663674473e-06,3.086022277086288e-07,6.872508769057666e-07,0.0003489887312753126,0.00021254965914912255,0.0012571245897561312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3227865185056413,1.9919846739087785,0.05000000000000001,14,23|31|224|171|180,56,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed2,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed2
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.4958054721355438,0.5028026103973389,0.4993535280227661,0.50171524|0.5027191|0.50280261|0.49923816|0.4968628|0.49884823|0.49683678|0.49580547,15.045242309570312,0.019854040816426277,0.9801431894302368,0.8483263850212097,0.10446058213710785,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,2,2,1.01726952620915,0.9977958159787315,0.38945986543382916,6.92687137870962e-07,3.89405271520157e-09,4.87974872547576e-06,2.947443996552985e-06,4.5863362580738407e-07,6.887930794619024e-07,0.0003476839982405571,0.0002155681244663096,0.0012554092765120523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9435683148247855,1.030749146427427,0.05000000000000001,14,23|31|224|171|180,56,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed2,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed2
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.49434199929237366,0.5036534667015076,0.4984493553638458,0.49961782|0.50365347|0.50291419|0.49812675|0.49553794|0.49751133|0.494342|0.49589127,15.056595802307129,0.01976371742784977,0.9800156354904175,0.8481150269508362,0.10450797528028488,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,2,3,0.8810744541031974,0.869377749306815,0.23391986531870707,7.072421997885872e-07,8.6078851982815e-09,9.787140697881114e-06,6.0624583641453815e-06,1.5667123745645637e-06,6.98634319665611e-07,0.00035160274170006493,0.0002216438827287805,0.0012538766688002007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8187208431107658,0.9033180602959224,0.05000000000000001,14,23|31|224|171|180,56,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed2,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed2
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.49293065071105957,0.5040281414985657,0.4978880286216736,0.49720499|0.50402814|0.50284982|0.49763244|0.49476406|0.49692988|0.49293065|0.49676421,15.025849342346191,0.019755592569708824,0.9798727631568909,0.848231315612793,0.10442142188549042,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,2,4,0.7914204810346875,0.7849795350006649,0.12880447187594005,7.241231888396474e-07,1.970380284329768e-08,1.46173201756028e-05,1.2402281299728202e-05,5.839788400407997e-06,7.044193880899132e-07,0.0003554415805930538,0.0002235243986693344,0.0012545339497072355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7408410949366433,0.8129183990614754,0.05000000000000001,14,23|31|224|171|180,56,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed2,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed2
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.4926178455352783,0.5046817064285278,0.49762919545173645,0.49459976|0.50468171|0.50268656|0.4969624|0.4943336|0.49701527|0.49261785|0.49813646,15.03409194946289,0.019647879526019096,0.9797247052192688,0.848024308681488,0.10446207970380783,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,2,5,0.7314423535551343,0.7252348618847984,0.12413503282836505,7.451448271110297e-07,3.7894624834880885e-08,1.8421538178310065e-05,2.215144052440467e-05,1.3901028523832792e-05,7.072501984696698e-07,0.0003581083188432136,0.00022358038820259805,0.001255614816078118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6793219149112701,0.8568008456911359,0.05000000000000001,14,23|31|224|171|180,56,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed2,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed2
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.491232305765152,0.5047879219055176,0.4971463680267334,0.49123231|0.50478792|0.50183618|0.49658066|0.49396661|0.49768227|0.49159393|0.49949101,15.0271635055542,0.01948477327823639,0.9794996380805969,0.8478620648384094,0.10446560382843018,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,2,6,0.6599838393075126,0.6552744805812836,0.09417151659727097,7.881551035942331e-07,6.783351150626718e-08,2.3922892848661703e-05,3.779229570812147e-05,2.7648925164872446e-05,7.203215984320975e-07,0.0003643517162085378,0.0002304786945127749,0.001254911650903523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6126847182001386,0.7727687444005694,0.05000000000000001,14,23|31|224|171|180,56,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed2,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed2
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.48789483308792114,0.504826545715332,0.49636563658714294,0.48789483|0.50482655|0.50047827|0.49548027|0.49335697|0.49835202|0.49044785|0.50008833,15.015586853027344,0.019294211640954018,0.979238748550415,0.8477011919021606,0.10445921868085861,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,2,7,0.6078389499868665,0.6042286966528211,0.07218822198254722,8.376485222275473e-07,1.0832066164669283e-07,3.406402148747085e-05,5.897047438858343e-05,4.594377813711097e-05,7.293278615959155e-07,0.00037045169821275134,0.00023323233160356591,0.0012564380636571773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5614125813756671,0.7696804446833474,0.05000000000000001,14,23|31|224|171|180,56,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed2,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed2
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.4845988154411316,0.5046744346618652,0.4956986606121063,0.48459882|0.50467443|0.49953172|0.49479589|0.49344119|0.50022638|0.48844597|0.49987486,15.009073257446289,0.019175801426172256,0.9790064096450806,0.8475356698036194,0.10445943474769592,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,2,8,0.5520351316247668,0.5497360016618457,0.04596433549055031,9.067877694438462e-07,1.6370551898197456e-07,4.831177959983636e-05,8.954943197230543e-05,6.932490240225369e-05,7.430822514769326e-07,0.0003776359454994755,0.00023980759994758825,0.0012563867910232926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5125888202871595,0.6921610534191132,0.05000000000000001,14,23|31|224|171|180,56,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed2,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed2
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.48092272877693176,0.5037540197372437,0.4948776960372925,0.48092273|0.50375402|0.4975583|0.49422586|0.49440226|0.50196242|0.48656929|0.49962667,14.955643653869629,0.019078511744737625,0.9787195324897766,0.8476927876472473,0.10431794077157974,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,2,9,0.5092671470982688,0.5075438171625137,0.03444707912525961,9.779238488200853e-07,2.275306586950267e-07,6.71951277451756e-05,0.0001270340108021628,9.377712506518167e-05,7.503932043359132e-07,0.00038401627638709864,0.00024052990504839857,0.0012584701429919473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4725967262472425,0.6519768493516105,0.05000000000000001,14,23|31|224|171|180,56,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed2,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed2
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask,fixed,cosine,lowdim,radial,8,1.0,0.47832927107810974,0.5034100413322449,0.4940935969352722,0.47832927|0.50210321|0.49661705|0.49341571|0.49432102|0.50341004|0.48558843|0.49896377,14.969895362854004,0.018918240442872047,0.9784708619117737,0.8473445177078247,0.104385606944561,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,5,2,10,0.4834917187690735,0.48189906563077656,0.031832258483128886,1.0371868808890992e-06,2.757858043521212e-07,8.752608222753874e-05,0.00015627509752188677,0.0001107580860012344,7.614010663863675e-07,0.00039152348680155616,0.0002438963596692442,0.0012598119459913246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44366478494235445,0.7094103395938873,0.05000000000000001,14,23|31|224|171|180,56,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed2,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatial\a0p08\rho0p5\gb8\sadg0p05\shot5\Seed2
