loss_mode,ablation,sadg_method,style_method,template_mode,mask_mode,spatial_mask_mode,gate_mode,gate_num_bins,gate_rho_max,rho_bin_min,rho_bin_max,rho_bin_mean,rho_bins,spatial_margin_px,spatial_edge_calib,spatial_inner_calib,spatial_calib_mean,spatial_preserve_edge_mean,style_alpha,style_rho,sadg_rho,lambda_disp,dice_weight,lambda_gate_anchor,lambda_gate_smooth,lambda_gate_mono,lambda_spectral_consistency,lambda_gate_budget,spectral_cons_eps,spatial_mask_margin_px,spatial_mask_margin_min_px,spatial_mask_margin_max_px,spatial_mask_edge_init,spatial_mask_inner_init,lambda_spatial_anchor,lambda_spatial_budget,lambda_spatial_tv,lambda_spatial_source_bg_edge,lambda_spatial_source_fg_inner,rho,rho_tag,sadg_rho_tag,lf_radius_h,lf_radius_w,lf_size_h,lf_size_w,checkpoint_source,shot,seed,epoch,train_loss,train_seg_loss,train_disp_loss,style_reg_loss,gate_reg_loss,gate_anchor_loss,gate_smooth_loss,gate_mono_loss,spatial_reg_loss,spatial_anchor_loss,spatial_budget_loss,spatial_tv_loss,spatial_source_reg_loss,spatial_source_bg_edge_loss,spatial_source_fg_inner_loss,spectral_cons_loss,gate_budget_loss,spectral_style_loss,template_l2_loss,template_smooth_loss,epsilon_loss,sadg_grad_norm,perturb_norm,steps,train_case_ids,n_train_slices,slice_policy,num_middle_slices,filter_min_fg,output_dir,prompt_dir
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask-SourceReg,fixed,cosine,lowdim_source_reg,radial,8,1.0,0.4986726939678192,0.502181887626648,0.5000772476196289,0.50163573|0.49888021|0.50083715|0.49867269|0.50218189|0.50009394|0.49935138|0.49896491,15.050104141235352,0.019931945949792862,0.9800242781639099,0.8481963872909546,0.10447052866220474,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,3,1,1.3123359580834706,1.2859111527601879,0.5254156192143759,0.00015402874244803874,2.5608841135634406e-09,5.849466215105773e-07,1.6729377018502116e-06,8.294516131712726e-07,6.922637349286257e-07,0.00035219239847113687,0.00021439961831977902,0.0012567171167271833,0.00015333391881237426,0.015329735974470774,3.6564792177766016e-05,0.0,0.0,0.0,0.0,0.0,1.1930427551269531,1.7505057255427043,0.05000000000000001,12,108|224|72|171,48,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask-SourceReg,fixed,cosine,lowdim_source_reg,radial,8,1.0,0.4974903166294098,0.5029610991477966,0.49983271956443787,0.5029611|0.49897909|0.50259614|0.49749032|0.50204647|0.49840757|0.49812776|0.49805334,15.1348876953125,0.01971035823225975,0.9801228046417236,0.8475865125656128,0.10474265366792679,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,3,2,0.9910707225402197,0.980405812462171,0.2102575053771337,0.00015202748788093837,1.2234037856847143e-08,2.878389608440557e-06,8.42443603232823e-06,3.521762171961503e-06,7.123921932361554e-07,0.0003569496669418489,0.00023037113351165317,0.0012507137726061046,0.00015130286313554583,0.015126638502503434,3.648441512874948e-05,0.0,0.0,0.0,0.0,0.0,0.9212674597899119,1.1109342972437541,0.05000000000000001,12,108|224|72|171,48,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask-SourceReg,fixed,cosine,lowdim_source_reg,radial,8,1.0,0.49673697352409363,0.50361168384552,0.49934664368629456,0.50241941|0.49859217|0.50361168|0.49673697|0.50187868|0.49703518|0.49721229|0.49728659,15.222325325012207,0.01948775351047516,0.980105996131897,0.8468554615974426,0.10502363741397858,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,3,3,0.8152902821699778,0.8084504803021749,0.13380081206560135,0.00014975555071335597,2.3113806128331287e-08,5.907791622424459e-06,1.6301768179497838e-05,6.221257838963841e-06,7.454042408501967e-07,0.00036973033274989575,0.00025129471396212466,0.001243791669063891,0.00014898703254099624,0.014895038524021706,3.665186856475581e-05,0.0,0.0,0.0,0.0,0.0,0.7532213280598322,1.0187204281489055,0.05000000000000001,12,108|224|72|171,48,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask-SourceReg,fixed,cosine,lowdim_source_reg,radial,8,1.0,0.49564263224601746,0.5041033625602722,0.49893492460250854,0.5013209|0.49869716|0.50410336|0.49634579|0.5019325|0.49631241|0.49564263|0.49712443,15.314960479736328,0.01923879235982895,0.9800472855567932,0.8460431694984436,0.105321004986763,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,3,4,0.662359486023585,0.6581280827522278,0.08167828402171533,0.00014749291221960448,3.025575656678825e-08,8.497174462718249e-06,2.1321097695666442e-05,8.084940342693395e-06,7.908586070470847e-07,0.00039134308220430586,0.000275846282117224,0.001236692051558445,0.00014667179978763065,0.014663468735913435,3.71135562697115e-05,0.0,0.0,0.0,0.0,0.0,0.6137750645478567,0.8286515027284622,0.05000000000000001,12,108|224|72|171,48,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask-SourceReg,fixed,cosine,lowdim_source_reg,radial,8,1.0,0.49507346749305725,0.5049059987068176,0.49870234727859497,0.50002372|0.49864838|0.504906|0.49592224|0.50142336|0.49602917|0.49507347|0.49759254,15.415054321289062,0.018969183787703514,0.9799839854240417,0.8451652526855469,0.1056390032172203,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,3,5,0.5798850059509277,0.5773514807224274,0.04777139921983083,0.00014496054063783959,3.6069960351881036e-08,1.0656121958163567e-05,2.5137693379898945e-05,9.86665296901871e-06,8.51648328155837e-07,0.00042329270945629105,0.00030548831515867886,0.0012286726948029052,0.0001440728228772059,0.014403510528306166,3.772045556615922e-05,0.0,0.0,0.0,0.0,0.0,0.5374463697274526,0.7488859047492346,0.05000000000000001,12,108|224|72|171,48,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask-SourceReg,fixed,cosine,lowdim_source_reg,radial,8,1.0,0.49504634737968445,0.505702793598175,0.49872303009033203,0.49904504|0.4983114|0.50570279|0.49596727|0.50138175|0.49621946|0.49504635|0.4981102,15.497472763061523,0.018757494166493416,0.9799379110336304,0.8444485664367676,0.10589691996574402,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,3,6,0.5089597925543785,0.5073036228617033,0.030269707708309095,0.00014268337690737098,4.1911770646644676e-08,1.1647152784159212e-05,2.8727023315392824e-05,1.2020029695728832e-05,9.158758634460659e-07,0.00045940146083012223,0.0003343391290400177,0.0012213523344447215,0.0001417255904622531,0.014168728531027833,3.830534600031873e-05,0.0,0.0,0.0,0.0,0.0,0.4719441582759221,0.6604817807674408,0.05000000000000001,12,108|224|72|171,48,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask-SourceReg,fixed,cosine,lowdim_source_reg,radial,8,1.0,0.4952164888381958,0.5064671039581299,0.4986749291419983,0.49795052|0.49779463|0.5064671|0.49633655|0.5012005|0.49651495|0.49521649|0.49791861,15.568219184875488,0.018584001809358597,0.979886531829834,0.8438248634338379,0.1061159074306488,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,3,7,0.4504556680719058,0.4493655090530713,0.0189860073539118,0.00014085988732404076,4.766963979108141e-08,1.2551071677080472e-05,3.2136489911257136e-05,1.427804143834995e-05,9.733085732932523e-07,0.0004932309432964151,0.0003585370262347472,0.0012154057524943103,0.0001398389067617245,0.01398001378402114,3.87707186746411e-05,0.0,0.0,0.0,0.0,0.0,0.41765929013490677,0.5981783916552862,0.05000000000000001,12,108|224|72|171,48,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask-SourceReg,fixed,cosine,lowdim_source_reg,radial,8,1.0,0.4956260621547699,0.5069659352302551,0.4983866512775421,0.49712142|0.49746612|0.50696594|0.49591333|0.5002442|0.49562606|0.49588224|0.49787393,15.639016151428223,0.018413450568914413,0.9797956347465515,0.8431673049926758,0.1063341498374939,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,3,8,0.39891159037748974,0.39796292533477146,0.016190125451733667,0.00013915892001629496,5.1395713758968973e-08,1.3987380043545272e-05,3.4500129004300106e-05,1.549684498058923e-05,1.034275726397027e-06,0.0005301496955022836,0.000383151724236086,0.0012097425157359492,0.00013807324770217141,0.01380339163976411,3.9335193832812365e-05,0.0,0.0,0.0,0.0,0.0,0.3688283860683441,0.5440269112586975,0.05000000000000001,12,108|224|72|171,48,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask-SourceReg,fixed,cosine,lowdim_source_reg,radial,8,1.0,0.4949532449245453,0.5073315501213074,0.4980838894844055,0.49567258|0.4975076|0.50733155|0.49495324|0.49975538|0.49596775|0.49571499|0.49776793,15.708744049072266,0.018247153609991074,0.9796831607818604,0.8425005078315735,0.10654789209365845,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,3,9,0.3597344507773717,0.35897539804379147,0.012431556746984521,0.00013748210524984947,5.7503461547980805e-08,1.6363605254809954e-05,3.896312712943958e-05,1.6903970996888045e-05,1.102267484990686e-06,0.0005721017951145768,0.0004097627800850508,0.0012040285510011017,0.00013632233458338305,0.013628230119744936,4.003356207249453e-05,0.0,0.0,0.0,0.0,0.0,0.3326290299495061,0.49296848724285763,0.05000000000000001,12,108|224|72|171,48,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3
Seg-SADG,Seg-SADG,Seg-SADG,LF-Barycenter-RadialGate-LowDimSpatialMask-SourceReg,fixed,cosine,lowdim_source_reg,radial,8,1.0,0.49427932500839233,0.5073958039283752,0.4978058934211731,0.49431136|0.49793455|0.5073958|0.49427933|0.4993127|0.49608102|0.49551043|0.49762192,15.776595115661621,0.018079187721014023,0.9795807003974915,0.8418574333190918,0.10675472766160965,0.08,0.5,0.05,0.05,0.5,0.0001,0.001,0.001,0.0,0.0,1e-06,15.0,5.0,40.0,0.02,0.98,0.001,0.001,0.0001,0.01,0.001,0.5,style_rho0p5,sadg_rho0p05,9,9,19,19,new_training,4,3,10,0.33079375078280765,0.33011656006177265,0.010825843977121016,0.00013590218319829242,6.422867867191447e-08,1.918816072551029e-05,4.3557847372236815e-05,1.8752012692857534e-05,1.1726128453422764e-06,0.0006161962519399822,0.00043655679473886266,0.001198597582212339,0.0001346653419507978,0.01346245928046604,4.0752943580931365e-05,0.0,0.0,0.0,0.0,0.0,0.3036527981360753,0.48691227783759433,0.05000000000000001,12,108|224|72|171,48,all_filtered,9,True,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3,D:\Running_Place\PostGraduateProjects\Experiments\PostGraduate\backbones\Prompts\SpaceFrequencyModulation\Seg-SADG\BaryRadGateLowDimSpatialSourceReg\a0p08\rho0p5\gb8\sadg0p05\shot4\Seed3
