method,task_id,source_vendor,source_domain,seed,epoch,steps,train_loss,cross_entropy,dice_loss,learning_rate,source_patient_count,source_slice_count
FullySupervisedMMS,4,A,vendor_A_Siemens,4,1,139,0.6909889089975426,0.23583531642346073,0.9103071878282286,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,2,139,0.37606118715924325,0.05660203097910761,0.6389183131910914,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,3,139,0.30638423647811946,0.037616777253879914,0.5375349172156492,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,4,139,0.2775089868324266,0.02952292250643531,0.49597212543590463,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,5,139,0.261525163333193,0.025855705852238394,0.4713389131662657,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,6,139,0.24782259955251817,0.022097232208835135,0.4514507340441505,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,7,139,0.24523553043175086,0.021404726738981205,0.44766160545589256,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,8,139,0.23862679216930335,0.019578492557026927,0.43809659907714926,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,9,139,0.23309553436023725,0.01796662075806865,0.4302578283299645,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,10,139,0.2302759445721297,0.01712294826083046,0.4263059926761998,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,11,139,0.22925419596244964,0.01696206227266531,0.424584266736353,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,12,139,0.22869978330547003,0.016707775471129005,0.4239840158026853,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,13,139,0.22462812837936896,0.015140113615089183,0.41897602743810886,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,14,139,0.22169947581325503,0.014303805353454978,0.4147913408793991,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,15,139,0.21929655433129921,0.014083150740739682,0.41042680684611094,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,16,139,0.22052618416307643,0.014215506325147564,0.4126213559572645,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,17,139,0.2183254945406811,0.013287293004448251,0.41007640400378825,0.001,95,2212
FullySupervisedMMS,4,A,vendor_A_Siemens,4,18,139,0.21776704377622055,0.013567390714323134,0.40839930457605733,0.001,95,2212
