method,task_id,source_vendor,source_domain,seed,epoch,steps,train_loss,cross_entropy,dice_loss,learning_rate,source_patient_count,source_slice_count
FullySupervisedMMS,8,B,vendor_B_Philips,3,1,166,0.5483295913920345,0.1630644123574876,0.7705303583159504,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,2,166,0.2673358956733382,0.028587630489863545,0.477496529559055,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,3,166,0.23439399978841644,0.021592220989987254,0.4256035574229367,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,4,166,0.21831246977110944,0.01868409423875701,0.3992567504924464,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,5,166,0.209964414721871,0.016085537919123847,0.3877577549183225,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,6,166,0.204939322658332,0.01533733896282782,0.37920396586498584,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,7,166,0.20485296091401434,0.015616800852052599,0.3784723222614771,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,8,166,0.19939729764339437,0.014303572610559234,0.37018744979637214,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,9,166,0.1965856998710029,0.012950912513489643,0.3672695741595992,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,10,166,0.19641114147492203,0.012838191108733236,0.36714590053601437,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,11,166,0.1939915129578257,0.012145205159637943,0.3636926158544529,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,12,166,0.19322835205190153,0.012085108745686081,0.36228648591113377,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,13,166,0.1929138694182936,0.011595113884590297,0.36263751005192835,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,14,166,0.19437887546527816,0.012392025707424226,0.36397369959986353,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,15,166,0.19246879345681295,0.011522804039070406,0.361891978655953,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,16,166,0.18711085173200412,0.010235023435137897,0.35375165602708436,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,17,166,0.1903703436255455,0.011316408823996064,0.3581078690308404,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,18,166,0.18731068864644293,0.01036557777089078,0.35389022143131277,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,19,166,0.18898322491581182,0.010822257209367242,0.3563219359122127,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,20,166,0.18711390866931663,0.010147871309330305,0.3539320743048047,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,21,166,0.18987712151853434,0.011181428871420493,0.3573913866856012,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,22,166,0.18702566058161746,0.010648051170205855,0.35275521874427795,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,23,166,0.18519580597618976,0.009780980427805558,0.350829650748925,0.001,125,2642
FullySupervisedMMS,8,B,vendor_B_Philips,3,24,166,0.1850489659391972,0.009876238760055906,0.35034545493054103,0.001,125,2642
