method,task_id,source_vendor,source_domain,seed,epoch,steps,train_loss,cross_entropy,dice_loss,learning_rate,source_patient_count,source_slice_count
FullySupervisedMMS,1,A,vendor_A_Siemens,1,1,139,0.6413938115826614,0.1461242935318741,0.9905390392104498,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,2,139,0.6031049078316997,0.1145744820614513,0.977060856579019,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,3,139,0.5917775485155393,0.10912416784240188,0.9653067648839607,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,4,139,0.5701677237483237,0.10288947611618385,0.9345564919409992,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,5,139,0.5267646775828848,0.09409362982234938,0.8653420925998002,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,6,139,0.4622369824553565,0.08030517356430027,0.7638636145660346,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,7,139,0.41555196561401697,0.06970187670571341,0.6917001793710448,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,8,139,0.383651538075303,0.061744973599481924,0.6438131300236681,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,9,139,0.36645517782341663,0.05737309681801058,0.6181641626272271,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,10,139,0.34663116674629046,0.05195226729344979,0.5893577986912761,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,11,139,0.33489256968601144,0.048690716890122394,0.5724037085934509,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,12,139,0.32792170313622454,0.047097718785349414,0.5616479631808164,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,13,139,0.3204572193270965,0.04504674356162763,0.5508209535543868,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,14,139,0.311476022326689,0.04254887273146523,0.5378542981988235,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,15,139,0.3056434253565699,0.041226401121067485,0.5288340509366646,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,16,139,0.30047337485731934,0.04012700390043876,0.5206927423425716,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,17,139,0.29925958254783275,0.04001007204969152,0.518499022336315,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,18,139,0.2934551439482531,0.037900031242760826,0.5111102236689423,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,19,139,0.28888624231163545,0.036779019526011654,0.5042144448208294,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,20,139,0.2847730461642039,0.035974352587041236,0.4975973880119461,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,21,139,0.2809805319034796,0.0347161928808196,0.4925286780587203,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,22,139,0.27988038399665477,0.034294035614019246,0.49117269618905707,0.001,95,2212
FullySupervisedMMS,1,A,vendor_A_Siemens,1,23,139,0.27593315226568593,0.03376510720566022,0.4843360897448423,0.001,95,2212
