task_id,patient_id,phase,z_index,slice_id,batch_index,updated,skip_reason,pool_size_before,pool_size_after,graph_count,current_graph_count,sampled_nodes,foreground_pixels,foreground_ratio,reliable_pixels,total_nodes,candidate_edges,edge_budget,graph_loss,commonality_loss,total_loss,gradient_norm,selected_self_edge_mass,detach_backbone
54,A2E3W4,ED,0,A2E3W4_ED_slice000,1,False,empty_current_graph,0,0,0,0,0,0,0.0,0,0,0,0,,,,,0.0,False
54,A2E3W4,ED,1,A2E3W4_ED_slice001,2,False,pool_not_ready,0,1,1,1,11,563,0.0085906982421875,281,11,110,0,,,,,0.0,False
54,A2E3W4,ED,2,A2E3W4_ED_slice002,3,False,insufficient_nodes,1,2,2,1,11,1019,0.0155487060546875,509,22,462,0,,,,,0.0,False
54,A2E3W4,ED,3,A2E3W4_ED_slice003,4,False,insufficient_nodes,2,3,3,1,11,1595,0.0243377685546875,797,33,1056,0,,,,,0.0,False
54,A2E3W4,ED,4,A2E3W4_ED_slice004,5,False,insufficient_nodes,3,3,4,1,11,2073,0.0316314697265625,1036,44,1892,0,,,,,0.0,False
54,A2E3W4,ED,5,A2E3W4_ED_slice005,6,False,insufficient_nodes,3,3,4,1,10,2540,0.03875732421875,1270,43,1806,0,,,,,0.0,False
54,A2E3W4,ED,6,A2E3W4_ED_slice006,7,False,insufficient_nodes,3,3,4,1,11,2064,0.031494140625,1032,43,1806,0,,,,,0.0,False
54,A2E3W4,ED,7,A2E3W4_ED_slice007,8,False,insufficient_nodes,3,3,4,1,11,1106,0.016876220703125,553,43,1806,0,,,,,0.0,False
54,A2E3W4,ED,8,A2E3W4_ED_slice008,9,False,empty_current_graph,3,3,3,0,0,0,0.0,0,32,992,0,,,,,0.0,False
54,A2E3W4,ED,9,A2E3W4_ED_slice009,10,False,insufficient_nodes,3,3,4,1,10,260,0.00396728515625,130,42,1722,0,,,,,0.0,False
54,A2E3W4,ES,0,A2E3W4_ES_slice000,11,False,empty_current_graph,3,3,3,0,0,0,0.0,0,32,992,0,,,,,0.0,False
54,A2E3W4,ES,1,A2E3W4_ES_slice001,12,False,insufficient_nodes,3,3,4,1,11,563,0.0085906982421875,281,43,1806,0,,,,,0.0,False
54,A2E3W4,ES,2,A2E3W4_ES_slice002,13,False,insufficient_nodes,3,3,4,1,11,1019,0.0155487060546875,509,43,1806,0,,,,,0.0,False
54,A2E3W4,ES,3,A2E3W4_ES_slice003,14,False,insufficient_nodes,3,3,4,1,11,1595,0.0243377685546875,797,43,1806,0,,,,,0.0,False
54,A2E3W4,ES,4,A2E3W4_ES_slice004,15,False,insufficient_nodes,3,3,4,1,11,2073,0.0316314697265625,1036,44,1892,0,,,,,0.0,False
54,A2E3W4,ES,5,A2E3W4_ES_slice005,16,False,insufficient_nodes,3,3,4,1,10,2540,0.03875732421875,1270,43,1806,0,,,,,0.0,False
54,A2E3W4,ES,6,A2E3W4_ES_slice006,17,False,insufficient_nodes,3,3,4,1,11,2064,0.031494140625,1032,43,1806,0,,,,,0.0,False
54,A2E3W4,ES,7,A2E3W4_ES_slice007,18,False,insufficient_nodes,3,3,4,1,11,1106,0.016876220703125,553,43,1806,0,,,,,0.0,False
54,A2E3W4,ES,8,A2E3W4_ES_slice008,19,False,empty_current_graph,3,3,3,0,0,0,0.0,0,32,992,0,,,,,0.0,False
54,A2E3W4,ES,9,A2E3W4_ES_slice009,20,False,insufficient_nodes,3,3,4,1,10,260,0.00396728515625,130,42,1722,0,,,,,0.0,False
54,A3H5R1,ED,0,A3H5R1_ED_slice000,21,False,insufficient_nodes,3,3,4,1,1,1,1.52587890625e-05,1,33,1056,0,,,,,0.0,False
