vendor,seed,batches,seen_slices,augmented_slices,augmentation_coverage,restored_parameters,mean_loss,mean_anchor_confidence,adaptation_seconds,prediction_seconds,final_parameter_drift
B,2022,257,2049,0,0.0,62977604,0.0034688071719574864,0.9986998681151733,39.2808379214257,4.385593289276585,0.28264281153678894
B,2023,257,2049,0,0.0,62977604,0.006007982727700163,0.9978671509094387,35.75228919927031,4.049559365492314,0.3432101011276245
B,2024,257,2049,0,0.0,62977604,0.004391320955631877,0.9983656703116779,35.166476930025965,4.064722068607807,0.1967649757862091
B,2025,257,2049,0,0.0,62977604,0.005904001145854978,0.9980120781632735,35.4529314620886,4.343250978272408,0.34087133407592773
B,2026,257,2049,0,0.0,62977604,0.005007330227321447,0.998247945174873,36.03776263259351,4.035183458589017,0.2370751053094864
C,2022,101,806,0,0.0,24753479,0.003498861906476892,0.9987124731167966,11.224461099598557,1.7213507713750005,0.23196791112422943
C,2023,101,806,0,0.0,24753479,0.0057034980027333235,0.9979846465676357,10.870783074758947,1.592096685897559,0.25933727622032166
C,2024,101,806,0,0.0,24753479,0.004858773451289231,0.998229054008465,10.84445961844176,1.5929945225361735,0.28246164321899414
C,2025,101,806,0,0.0,24753479,0.005504295627399355,0.9982075349568729,11.29928177781403,1.7324323048815131,0.25760695338249207
C,2026,101,806,0,0.0,24753479,0.004785125379545369,0.9983359430327309,10.899666524492204,1.588576982729137,0.22864313423633575
D,2022,105,835,0,0.0,25731858,0.0026151455620939505,0.9990407189923132,11.770087026059628,1.79596973140724,0.19443272054195404
D,2023,105,835,0,0.0,25731858,0.004753455129859155,0.9983712290575404,11.3428442934528,1.6523348917253315,0.25903818011283875
D,2024,105,835,0,0.0,25731858,0.0035870430857210815,0.9987140370700174,11.255735908867791,1.6538076077122241,0.27255362272262573
D,2025,105,835,0,0.0,25731858,0.0050205647398879425,0.9983256364297011,11.603294535074383,1.7722120648249984,0.2510019838809967
D,2026,105,835,0,0.0,25731858,0.00409785601795612,0.998562371516656,11.449426303151995,1.6540210042148829,0.24010039865970612
